Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,0.78278,0.78278,0.78271,0.78271
Time: 17:27:00.000 Date: 2018-01-02,0.78269,0.78274,0.78264,0.78269
Time: 17:28:00.000 Date: 2018-01-02,0.78272,0.78273,0.78266,0.78273
Time: 17:29:00.000 Date: 2018-01-02,0.78269,0.78269,0.78262,0.78267
Time: 17:30:00.000 Date: 2018-01-02,0.78268,0.78272,0.78262,0.78262
Time: 17:31:00.000 Date: 2018-01-02,0.78263,0.78273,0.78263,0.78272
Time: 17:32:00.000 Date: 2018-01-02,0.78273,0.78279,0.78272,0.78278
Time: 17:33:00.000 Date: 2018-01-02,0.78279,0.7828,0.78271,0.78272
Time: 17:34:00.000 Date: 2018-01-02,0.78271,0.78271,0.78271,0.78271
Time: 17:35:00.000 Date: 2018-01-02,0.7827,0.78271,0.7826,0.78261
Time: 17:36:00.000 Date: 2018-01-02,0.7826,0.7826,0.78248,0.7825
Time: 17:37:00.000 Date: 2018-01-02,0.78249,0.78249,0.78248,0.78248
Time: 17:38:00.000 Date: 2018-01-02,0.78247,0.78259,0.78247,0.78258
Time: 17:39:00.000 Date: 2018-01-02,0.78259,0.7827,0.78259,0.7827
Time: 17:40:00.000 Date: 2018-01-02,0.78273,0.78273,0.78268,0.78268
Time: 17:41:00.000 Date: 2018-01-02,0.78266,0.78271,0.78263,0.78271
Time: 17:42:00.000 Date: 2018-01-02,0.78269,0.7828,0.78269,0.78279
Time: 17:43:00.000 Date: 2018-01-02,0.7828,0.78289,0.7828,0.78288
Time: 17:44:00.000 Date: 2018-01-02,0.78289,0.7829,0.78289,0.78289
Time: 17:45:00.000 Date: 2018-01-02,0.7829,0.78291,0.78282,0.78282
Time: 17:46:00.000 Date: 2018-01-02,0.78283,0.78283,0.78283,0.78283
Time: 17:47:00.000 Date: 2018-01-02,0.78282,0.78283,0.78278,0.78278
Time: 17:48:00.000 Date: 2018-01-02,0.78277,0.78277,0.78269,0.78269
Time: 17:49:00.000 Date: 2018-01-02,0.78268,0.78268,0.78251,0.78254
Time: 17:50:00.000 Date: 2018-01-02,0.78253,0.78256,0.78248,0.78248
Time: 17:51:00.000 Date: 2018-01-02,0.78252,0.78253,0.78249,0.78251
Time: 17:52:00.000 Date: 2018-01-02,0.78252,0.78258,0.78251,0.78252
Time: 17:53:00.000 Date: 2018-01-02,0.78251,0.78251,0.7825,0.7825
Time: 17:54:00.000 Date: 2018-01-02,0.78249,0.78249,0.78242,0.78243
Time: 17:55:00.000 Date: 2018-01-02,0.78247,0.78247,0.78238,0.7824
Time: 17:56:00.000 Date: 2018-01-02,0.78239,0.78248,0.78239,0.78242
Time: 17:57:00.000 Date: 2018-01-02,0.78243,0.78243,0.78239,0.7824
Time: 17:58:00.000 Date: 2018-01-02,0.78239,0.78243,0.78231,0.78231
Time: 17:59:00.000 Date: 2018-01-02,0.7823,0.7824,0.7823,0.78239
Time: 18:00:00.000 Date: 2018-01-02,0.78237,0.78237,0.78236,0.78236
Time: 18:01:00.000 Date: 2018-01-02,0.78237,0.78241,0.78236,0.78241
Time: 18:02:00.000 Date: 2018-01-02,0.78243,0.78247,0.78243,0.78247
Time: 18:03:00.000 Date: 2018-01-02,0.78248,0.78249,0.78247,0.78247
Time: 18:04:00.000 Date: 2018-01-02,0.78248,0.78257,0.78247,0.78257
Time: 18:05:00.000 Date: 2018-01-02,0.78253,0.78257,0.78253,0.78255
Time: 18:06:00.000 Date: 2018-01-02,0.78253,0.78257,0.78252,0.78257
Time: 18:07:00.000 Date: 2018-01-02,0.78258,0.78261,0.78258,0.7826
Time: 18:08:00.000 Date: 2018-01-02,0.78259,0.78263,0.78259,0.78263
Time: 18:09:00.000 Date: 2018-01-02,0.78262,0.78264,0.78262,0.78262
Time: 18:10:00.000 Date: 2018-01-02,0.78259,0.78261,0.78257,0.7826
Time: 18:11:00.000 Date: 2018-01-02,0.78259,0.78263,0.78259,0.78263
Time: 18:12:00.000 Date: 2018-01-02,0.78262,0.78263,0.78257,0.78258
Time: 18:13:00.000 Date: 2018-01-02,0.78254,0.78254,0.7825,0.7825
Time: 18:14:00.000 Date: 2018-01-02,0.78249,0.78251,0.78249,0.7825
Time: 18:15:00.000 Date: 2018-01-02,0.78251,0.78251,0.78242,0.78242
Time: 18:16:00.000 Date: 2018-01-02,0.78241,0.78244,0.78241,0.78244
Time: 18:17:00.000 Date: 2018-01-02,0.78243,0.78244,0.78243,0.78243
Time: 18:19:00.000 Date: 2018-01-02,0.78244,0.78244,0.78242,0.78242
Time: 18:20:00.000 Date: 2018-01-02,0.78243,0.78243,0.78234,0.78238
Time: 18:21:00.000 Date: 2018-01-02,0.78239,0.78241,0.78238,0.7824
Time: 18:22:00.000 Date: 2018-01-02,0.78239,0.7824,0.78238,0.7824
Time: 18:23:00.000 Date: 2018-01-02,0.78239,0.78241,0.78239,0.78241
Time: 18:24:00.000 Date: 2018-01-02,0.78242,0.78242,0.78238,0.78238
Time: 18:25:00.000 Date: 2018-01-02,0.78236,0.78238,0.78232,0.78238
Time: 18:26:00.000 Date: 2018-01-02,0.7824,0.78243,0.78235,0.78241
Time: 18:27:00.000 Date: 2018-01-02,0.7824,0.78243,0.78239,0.78241
Time: 18:28:00.000 Date: 2018-01-02,0.78242,0.78244,0.7824,0.78242
Time: 18:29:00.000 Date: 2018-01-02,0.78241,0.78253,0.78241,0.78253
Time: 18:30:00.000 Date: 2018-01-02,0.78252,0.78254,0.78252,0.78252
Time: 18:31:00.000 Date: 2018-01-02,0.78253,0.78253,0.78252,0.78253
Time: 18:32:00.000 Date: 2018-01-02,0.78256,0.78256,0.78254,0.78254
Time: 18:33:00.000 Date: 2018-01-02,0.78255,0.78255,0.78254,0.78255
Time: 18:34:00.000 Date: 2018-01-02,0.78254,0.78263,0.78254,0.78263
Time: 18:35:00.000 Date: 2018-01-02,0.78262,0.78263,0.78259,0.78262
Time: 18:36:00.000 Date: 2018-01-02,0.78263,0.78263,0.78259,0.78259
Time: 18:37:00.000 Date: 2018-01-02,0.78258,0.7826,0.78258,0.7826
Time: 18:38:00.000 Date: 2018-01-02,0.78261,0.78269,0.78261,0.78267
Time: 18:39:00.000 Date: 2018-01-02,0.78266,0.78273,0.78266,0.78272
Time: 18:40:00.000 Date: 2018-01-02,0.78271,0.78273,0.7827,0.7827
Time: 18:41:00.000 Date: 2018-01-02,0.78271,0.78271,0.78271,0.78271
Time: 18:42:00.000 Date: 2018-01-02,0.7827,0.78271,0.78269,0.78269
Time: 18:43:00.000 Date: 2018-01-02,0.7827,0.78271,0.78269,0.7827
Time: 18:44:00.000 Date: 2018-01-02,0.78269,0.78277,0.78269,0.78275
Time: 18:45:00.000 Date: 2018-01-02,0.78274,0.78276,0.78271,0.78271
Time: 18:46:00.000 Date: 2018-01-02,0.78272,0.78276,0.78266,0.78266
Time: 18:48:00.000 Date: 2018-01-02,0.78261,0.78267,0.78261,0.78267
Time: 18:49:00.000 Date: 2018-01-02,0.78266,0.78273,0.78266,0.78272
Time: 17:25:00.000 Date: 2018-01-03,0.78381,0.78381,0.78378,0.78379
Time: 17:26:00.000 Date: 2018-01-03,0.7838,0.7838,0.78377,0.7838
Time: 17:27:00.000 Date: 2018-01-03,0.78379,0.78387,0.78378,0.78378
Time: 17:28:00.000 Date: 2018-01-03,0.78379,0.78383,0.78378,0.78379
Time: 17:29:00.000 Date: 2018-01-03,0.7838,0.7838,0.78376,0.78376
Time: 17:30:00.000 Date: 2018-01-03,0.78377,0.78378,0.78371,0.78375
Time: 17:31:00.000 Date: 2018-01-03,0.78374,0.78376,0.78371,0.78376
Time: 17:32:00.000 Date: 2018-01-03,0.78377,0.78387,0.78377,0.78387
Time: 17:33:00.000 Date: 2018-01-03,0.78385,0.78385,0.78378,0.78378
Time: 17:34:00.000 Date: 2018-01-03,0.78379,0.78379,0.78378,0.78378
Time: 17:35:00.000 Date: 2018-01-03,0.78379,0.78387,0.78378,0.78387
Time: 17:36:00.000 Date: 2018-01-03,0.78383,0.78398,0.78383,0.78398
Time: 17:38:00.000 Date: 2018-01-03,0.78399,0.78402,0.78398,0.78401
Time: 17:39:00.000 Date: 2018-01-03,0.78399,0.78399,0.78396,0.78396
Time: 17:40:00.000 Date: 2018-01-03,0.78395,0.78396,0.7839,0.78396
Time: 17:41:00.000 Date: 2018-01-03,0.78398,0.78398,0.78391,0.78391
Time: 17:42:00.000 Date: 2018-01-03,0.7839,0.7839,0.7839,0.7839
Time: 17:43:00.000 Date: 2018-01-03,0.78388,0.7839,0.78388,0.78389
Time: 17:44:00.000 Date: 2018-01-03,0.7839,0.7839,0.78389,0.78389
Time: 17:45:00.000 Date: 2018-01-03,0.7839,0.7839,0.78389,0.7839
Time: 17:46:00.000 Date: 2018-01-03,0.78391,0.78392,0.7839,0.78391
Time: 17:47:00.000 Date: 2018-01-03,0.7839,0.78393,0.78383,0.78389
Time: 17:48:00.000 Date: 2018-01-03,0.78388,0.78389,0.78386,0.78387
Time: 17:49:00.000 Date: 2018-01-03,0.78381,0.78382,0.7838,0.7838
Time: 17:50:00.000 Date: 2018-01-03,0.78379,0.7838,0.78379,0.7838
Time: 17:51:00.000 Date: 2018-01-03,0.78381,0.78388,0.78381,0.78388
Time: 17:52:00.000 Date: 2018-01-03,0.78387,0.78389,0.78387,0.78389
Time: 17:53:00.000 Date: 2018-01-03,0.7839,0.78396,0.78389,0.78396
Time: 17:54:00.000 Date: 2018-01-03,0.78398,0.784,0.78398,0.78398
Time: 17:55:00.000 Date: 2018-01-03,0.78399,0.78401,0.78399,0.78401
Time: 17:56:00.000 Date: 2018-01-03,0.784,0.78411,0.784,0.78411
Time: 17:57:00.000 Date: 2018-01-03,0.7841,0.7841,0.78408,0.78408
Time: 17:58:00.000 Date: 2018-01-03,0.78409,0.78409,0.78406,0.78408
Time: 17:59:00.000 Date: 2018-01-03,0.78409,0.78411,0.78408,0.78411
Time: 18:00:00.000 Date: 2018-01-03,0.7841,0.78412,0.7841,0.78412
Time: 18:01:00.000 Date: 2018-01-03,0.78411,0.78418,0.78411,0.78414
Time: 18:02:00.000 Date: 2018-01-03,0.78415,0.78421,0.78412,0.78416
Time: 18:03:00.000 Date: 2018-01-03,0.78417,0.78418,0.78415,0.78416
Time: 18:04:00.000 Date: 2018-01-03,0.78415,0.7842,0.78412,0.78414
Time: 18:05:00.000 Date: 2018-01-03,0.78413,0.78415,0.7841,0.78413
Time: 18:06:00.000 Date: 2018-01-03,0.78415,0.78415,0.78405,0.78408
Time: 18:07:00.000 Date: 2018-01-03,0.7841,0.7841,0.78405,0.78405
Time: 18:08:00.000 Date: 2018-01-03,0.78406,0.78409,0.78403,0.78404
Time: 18:09:00.000 Date: 2018-01-03,0.78402,0.78405,0.78399,0.78405
Time: 18:10:00.000 Date: 2018-01-03,0.78404,0.78409,0.78404,0.78407
Time: 18:11:00.000 Date: 2018-01-03,0.78408,0.78417,0.78407,0.78414
Time: 18:12:00.000 Date: 2018-01-03,0.78413,0.78413,0.78407,0.78408
Time: 18:13:00.000 Date: 2018-01-03,0.78409,0.78411,0.78408,0.78408
Time: 18:14:00.000 Date: 2018-01-03,0.78407,0.78407,0.78404,0.78405
Time: 18:15:00.000 Date: 2018-01-03,0.78406,0.78407,0.78406,0.78406
Time: 18:16:00.000 Date: 2018-01-03,0.78407,0.78407,0.78405,0.78407
Time: 18:17:00.000 Date: 2018-01-03,0.78406,0.78408,0.78406,0.78408
Time: 18:18:00.000 Date: 2018-01-03,0.78407,0.78407,0.78405,0.78405
Time: 18:19:00.000 Date: 2018-01-03,0.78406,0.78407,0.78405,0.78407
Time: 18:20:00.000 Date: 2018-01-03,0.78406,0.78411,0.78405,0.78407
Time: 18:21:00.000 Date: 2018-01-03,0.78406,0.78414,0.78406,0.78411
Time: 18:22:00.000 Date: 2018-01-03,0.78412,0.78417,0.7841,0.78416
Time: 18:23:00.000 Date: 2018-01-03,0.78415,0.78416,0.78415,0.78415
Time: 18:24:00.000 Date: 2018-01-03,0.78416,0.78417,0.78407,0.78407
Time: 18:25:00.000 Date: 2018-01-03,0.78406,0.78407,0.78404,0.78407
Time: 18:26:00.000 Date: 2018-01-03,0.78406,0.78406,0.78398,0.78398
Time: 18:27:00.000 Date: 2018-01-03,0.78399,0.78402,0.78398,0.78401
Time: 18:28:00.000 Date: 2018-01-03,0.78402,0.78402,0.784,0.784
Time: 18:29:00.000 Date: 2018-01-03,0.78406,0.78407,0.784,0.784
Time: 18:30:00.000 Date: 2018-01-03,0.78401,0.78408,0.784,0.78407
Time: 18:31:00.000 Date: 2018-01-03,0.78405,0.78408,0.78402,0.78408
Time: 18:32:00.000 Date: 2018-01-03,0.78407,0.78417,0.78407,0.78416
Time: 18:33:00.000 Date: 2018-01-03,0.78412,0.78416,0.78411,0.78416
Time: 18:34:00.000 Date: 2018-01-03,0.78417,0.7842,0.78417,0.7842
Time: 18:35:00.000 Date: 2018-01-03,0.78421,0.78427,0.78421,0.78427
Time: 18:36:00.000 Date: 2018-01-03,0.78428,0.78429,0.78427,0.78427
Time: 18:37:00.000 Date: 2018-01-03,0.78428,0.78431,0.78427,0.78427
Time: 18:38:00.000 Date: 2018-01-03,0.78428,0.78431,0.78425,0.78426
Time: 18:39:00.000 Date: 2018-01-03,0.78425,0.78428,0.78425,0.78427
Time: 18:40:00.000 Date: 2018-01-03,0.78425,0.78428,0.78425,0.78426
Time: 18:41:00.000 Date: 2018-01-03,0.78429,0.7843,0.78427,0.78429
Time: 18:42:00.000 Date: 2018-01-03,0.78431,0.78437,0.78431,0.78436
Time: 18:43:00.000 Date: 2018-01-03,0.78437,0.78441,0.78437,0.78441
Time: 18:44:00.000 Date: 2018-01-03,0.7844,0.78447,0.78439,0.78445
Time: 18:45:00.000 Date: 2018-01-03,0.78441,0.78441,0.78438,0.78439
Time: 18:46:00.000 Date: 2018-01-03,0.7844,0.78441,0.7844,0.7844
Time: 18:47:00.000 Date: 2018-01-03,0.78439,0.78439,0.78432,0.78439
Time: 18:48:00.000 Date: 2018-01-03,0.78438,0.78439,0.78436,0.78439
Time: 18:49:00.000 Date: 2018-01-03,0.78443,0.78445,0.78438,0.78438
Time: 17:25:00.000 Date: 2018-01-04,0.78545,0.78547,0.78544,0.78544
