Date Time,Open,High,Low,Close
Time: 14:26:00.000 Date: 2018-01-02,1.2046,1.2047,1.2046,1.20469
Time: 14:27:00.000 Date: 2018-01-02,1.20468,1.20469,1.20452,1.20464
Time: 14:28:00.000 Date: 2018-01-02,1.2046,1.20461,1.20453,1.20459
Time: 14:29:00.000 Date: 2018-01-02,1.2046,1.2047,1.20458,1.2047
Time: 14:30:00.000 Date: 2018-01-02,1.20472,1.20489,1.2047,1.20488
Time: 14:31:00.000 Date: 2018-01-02,1.20487,1.20497,1.2048,1.20497
Time: 14:32:00.000 Date: 2018-01-02,1.20496,1.20501,1.20488,1.205
Time: 14:33:00.000 Date: 2018-01-02,1.20501,1.2051,1.20496,1.20508
Time: 14:34:00.000 Date: 2018-01-02,1.20509,1.20513,1.20493,1.20493
Time: 14:35:00.000 Date: 2018-01-02,1.2049,1.2049,1.20473,1.20473
Time: 14:36:00.000 Date: 2018-01-02,1.20474,1.20474,1.2044,1.20445
Time: 14:37:00.000 Date: 2018-01-02,1.20444,1.20455,1.20444,1.20452
Time: 14:38:00.000 Date: 2018-01-02,1.20451,1.20459,1.20445,1.2045
Time: 14:39:00.000 Date: 2018-01-02,1.20448,1.20453,1.20447,1.20449
Time: 14:40:00.000 Date: 2018-01-02,1.20448,1.20456,1.20441,1.20441
Time: 14:41:00.000 Date: 2018-01-02,1.20442,1.20478,1.2044,1.20471
Time: 14:42:00.000 Date: 2018-01-02,1.20472,1.20474,1.20468,1.2047
Time: 14:43:00.000 Date: 2018-01-02,1.20469,1.20471,1.20465,1.20467
Time: 14:44:00.000 Date: 2018-01-02,1.20468,1.20469,1.20466,1.20466
Time: 14:45:00.000 Date: 2018-01-02,1.20467,1.20468,1.20453,1.20468
Time: 14:46:00.000 Date: 2018-01-02,1.20467,1.20478,1.20437,1.20438
Time: 14:47:00.000 Date: 2018-01-02,1.20439,1.20459,1.20439,1.20449
Time: 14:48:00.000 Date: 2018-01-02,1.2045,1.20452,1.20429,1.20451
Time: 14:49:00.000 Date: 2018-01-02,1.2045,1.20455,1.2044,1.20444
Time: 14:50:00.000 Date: 2018-01-02,1.20446,1.20448,1.20414,1.20429
Time: 14:51:00.000 Date: 2018-01-02,1.2043,1.20444,1.20422,1.20444
Time: 14:52:00.000 Date: 2018-01-02,1.20447,1.20456,1.20442,1.20448
Time: 14:53:00.000 Date: 2018-01-02,1.20447,1.20447,1.20398,1.20402
Time: 14:54:00.000 Date: 2018-01-02,1.20404,1.20417,1.20364,1.20387
Time: 14:55:00.000 Date: 2018-01-02,1.2039,1.20418,1.20375,1.20397
Time: 14:56:00.000 Date: 2018-01-02,1.20396,1.20397,1.20354,1.20358
Time: 14:57:00.000 Date: 2018-01-02,1.20359,1.20379,1.20358,1.20377
Time: 14:58:00.000 Date: 2018-01-02,1.20376,1.20404,1.20374,1.20399
Time: 14:59:00.000 Date: 2018-01-02,1.20398,1.20412,1.20387,1.20388
Time: 15:00:00.000 Date: 2018-01-02,1.2039,1.20398,1.20357,1.20379
Time: 15:01:00.000 Date: 2018-01-02,1.20381,1.2041,1.20381,1.20405
Time: 15:02:00.000 Date: 2018-01-02,1.20404,1.20423,1.204,1.20419
Time: 15:03:00.000 Date: 2018-01-02,1.2042,1.2042,1.20344,1.20364
Time: 15:04:00.000 Date: 2018-01-02,1.20365,1.20375,1.20354,1.20365
Time: 15:05:00.000 Date: 2018-01-02,1.20366,1.20386,1.20364,1.20377
Time: 15:06:00.000 Date: 2018-01-02,1.20378,1.20387,1.20372,1.20385
Time: 15:07:00.000 Date: 2018-01-02,1.20386,1.20398,1.20374,1.20395
Time: 15:08:00.000 Date: 2018-01-02,1.20392,1.20401,1.20386,1.20394
Time: 15:09:00.000 Date: 2018-01-02,1.20395,1.20404,1.2039,1.20394
Time: 15:10:00.000 Date: 2018-01-02,1.20398,1.20418,1.20393,1.20406
Time: 15:11:00.000 Date: 2018-01-02,1.20407,1.20418,1.20402,1.20406
Time: 15:12:00.000 Date: 2018-01-02,1.20403,1.2041,1.20403,1.20407
Time: 15:13:00.000 Date: 2018-01-02,1.20403,1.20403,1.20379,1.20389
Time: 15:14:00.000 Date: 2018-01-02,1.2039,1.20405,1.20382,1.20388
Time: 15:15:00.000 Date: 2018-01-02,1.20387,1.20389,1.20362,1.20362
Time: 15:16:00.000 Date: 2018-01-02,1.20363,1.20377,1.20354,1.20374
Time: 15:17:00.000 Date: 2018-01-02,1.20375,1.20379,1.20366,1.20378
Time: 15:18:00.000 Date: 2018-01-02,1.20377,1.20398,1.20372,1.20394
Time: 15:19:00.000 Date: 2018-01-02,1.20395,1.20417,1.20389,1.2039
Time: 15:20:00.000 Date: 2018-01-02,1.20388,1.20393,1.20372,1.20373
Time: 15:21:00.000 Date: 2018-01-02,1.20372,1.20377,1.20362,1.20376
Time: 15:22:00.000 Date: 2018-01-02,1.20377,1.20377,1.20318,1.2033
Time: 15:23:00.000 Date: 2018-01-02,1.20331,1.20357,1.20329,1.20347
Time: 15:24:00.000 Date: 2018-01-02,1.20346,1.20356,1.20343,1.20353
Time: 15:25:00.000 Date: 2018-01-02,1.20355,1.20373,1.20353,1.20373
Time: 15:26:00.000 Date: 2018-01-02,1.20372,1.20377,1.20363,1.20377
Time: 15:27:00.000 Date: 2018-01-02,1.20378,1.20378,1.20363,1.20364
Time: 15:28:00.000 Date: 2018-01-02,1.20359,1.20359,1.203,1.20328
Time: 15:29:00.000 Date: 2018-01-02,1.20331,1.20332,1.2031,1.20323
Time: 15:30:00.000 Date: 2018-01-02,1.20322,1.20334,1.2028,1.20285
Time: 15:31:00.000 Date: 2018-01-02,1.20289,1.20312,1.20285,1.20308
Time: 15:32:00.000 Date: 2018-01-02,1.2031,1.20317,1.20295,1.20306
Time: 15:33:00.000 Date: 2018-01-02,1.20307,1.20307,1.20272,1.20272
Time: 15:34:00.000 Date: 2018-01-02,1.20271,1.2029,1.20263,1.20275
Time: 15:35:00.000 Date: 2018-01-02,1.20277,1.20285,1.20262,1.20283
Time: 15:36:00.000 Date: 2018-01-02,1.20282,1.20292,1.20282,1.20292
Time: 15:37:00.000 Date: 2018-01-02,1.20293,1.20319,1.20293,1.20313
Time: 15:38:00.000 Date: 2018-01-02,1.20316,1.20319,1.2031,1.20319
Time: 15:39:00.000 Date: 2018-01-02,1.2032,1.20323,1.20303,1.20312
Time: 15:40:00.000 Date: 2018-01-02,1.20311,1.20333,1.20311,1.20331
Time: 15:41:00.000 Date: 2018-01-02,1.20332,1.20333,1.20316,1.20319
Time: 15:42:00.000 Date: 2018-01-02,1.20321,1.20324,1.20306,1.20307
Time: 15:43:00.000 Date: 2018-01-02,1.20309,1.20312,1.20302,1.20305
Time: 15:44:00.000 Date: 2018-01-02,1.20306,1.20315,1.20298,1.20314
Time: 15:45:00.000 Date: 2018-01-02,1.20313,1.20339,1.20311,1.20338
Time: 15:46:00.000 Date: 2018-01-02,1.20333,1.20344,1.20324,1.20327
Time: 15:47:00.000 Date: 2018-01-02,1.20328,1.20342,1.20328,1.20334
Time: 15:48:00.000 Date: 2018-01-02,1.20332,1.20355,1.20332,1.20355
Time: 15:49:00.000 Date: 2018-01-02,1.20354,1.20358,1.20332,1.20333
Time: 14:25:00.000 Date: 2018-01-03,1.20293,1.20295,1.20292,1.20295
Time: 14:26:00.000 Date: 2018-01-03,1.20293,1.20295,1.20269,1.2027
Time: 14:27:00.000 Date: 2018-01-03,1.20269,1.2027,1.20264,1.20266
Time: 14:28:00.000 Date: 2018-01-03,1.20267,1.20274,1.20265,1.20269
Time: 14:29:00.000 Date: 2018-01-03,1.2027,1.2027,1.20244,1.20249
Time: 14:30:00.000 Date: 2018-01-03,1.20248,1.2025,1.20246,1.20249
Time: 14:31:00.000 Date: 2018-01-03,1.20253,1.20262,1.2024,1.20246
Time: 14:32:00.000 Date: 2018-01-03,1.20245,1.20245,1.2024,1.20242
Time: 14:33:00.000 Date: 2018-01-03,1.20243,1.20251,1.20238,1.20239
Time: 14:34:00.000 Date: 2018-01-03,1.2024,1.20247,1.20225,1.20246
Time: 14:35:00.000 Date: 2018-01-03,1.20247,1.20262,1.20241,1.20254
Time: 14:36:00.000 Date: 2018-01-03,1.20255,1.20261,1.20252,1.20255
Time: 14:37:00.000 Date: 2018-01-03,1.20254,1.20261,1.20241,1.20244
Time: 14:38:00.000 Date: 2018-01-03,1.20243,1.20244,1.20226,1.20237
Time: 14:39:00.000 Date: 2018-01-03,1.20236,1.20236,1.20221,1.20225
Time: 14:40:00.000 Date: 2018-01-03,1.20226,1.20227,1.20185,1.20194
Time: 14:41:00.000 Date: 2018-01-03,1.20193,1.20204,1.20183,1.20204
Time: 14:42:00.000 Date: 2018-01-03,1.20205,1.2022,1.20203,1.20209
Time: 14:43:00.000 Date: 2018-01-03,1.20211,1.20219,1.20204,1.20204
Time: 14:44:00.000 Date: 2018-01-03,1.20205,1.20208,1.20194,1.20204
Time: 14:45:00.000 Date: 2018-01-03,1.20202,1.20206,1.20195,1.202
Time: 14:46:00.000 Date: 2018-01-03,1.20199,1.202,1.20186,1.20195
Time: 14:47:00.000 Date: 2018-01-03,1.20194,1.20206,1.20187,1.20189
Time: 14:48:00.000 Date: 2018-01-03,1.2019,1.20195,1.20181,1.20185
Time: 14:49:00.000 Date: 2018-01-03,1.20184,1.20205,1.20176,1.20205
Time: 14:50:00.000 Date: 2018-01-03,1.20206,1.20211,1.20194,1.20198
Time: 14:51:00.000 Date: 2018-01-03,1.20199,1.20205,1.20187,1.20202
Time: 14:52:00.000 Date: 2018-01-03,1.20201,1.20203,1.20187,1.20197
Time: 14:53:00.000 Date: 2018-01-03,1.20196,1.20197,1.20173,1.20178
Time: 14:54:00.000 Date: 2018-01-03,1.20179,1.20189,1.20176,1.20185
Time: 14:55:00.000 Date: 2018-01-03,1.20186,1.20198,1.20183,1.20194
Time: 14:56:00.000 Date: 2018-01-03,1.20193,1.20193,1.20177,1.20188
Time: 14:57:00.000 Date: 2018-01-03,1.20185,1.20191,1.20157,1.20162
Time: 14:58:00.000 Date: 2018-01-03,1.20163,1.20165,1.20151,1.20163
Time: 14:59:00.000 Date: 2018-01-03,1.20165,1.2017,1.2014,1.2017
Time: 15:00:00.000 Date: 2018-01-03,1.20178,1.20178,1.20096,1.20114
Time: 15:01:00.000 Date: 2018-01-03,1.20115,1.20126,1.20074,1.20104
Time: 15:02:00.000 Date: 2018-01-03,1.20108,1.20136,1.20099,1.20136
Time: 15:03:00.000 Date: 2018-01-03,1.20135,1.20143,1.20127,1.2013
Time: 15:04:00.000 Date: 2018-01-03,1.20129,1.20129,1.20063,1.20082
Time: 15:05:00.000 Date: 2018-01-03,1.20079,1.20096,1.20064,1.20093
Time: 15:06:00.000 Date: 2018-01-03,1.20094,1.2011,1.20094,1.20099
Time: 15:07:00.000 Date: 2018-01-03,1.20097,1.20097,1.20072,1.20076
