Date Time,Open,High,Low,Close
Time: 22:00:00.000 Date: 2018-01-02,1.3587,1.36127,1.34937,1.35171
Time: 22:00:00.000 Date: 2018-01-03,1.3512,1.35598,1.35055,1.35513
Time: 22:00:00.000 Date: 2018-01-04,1.35439,1.35822,1.35232,1.35659
Time: 22:00:00.000 Date: 2018-01-07,1.35529,1.35855,1.35233,1.3567
Time: 22:00:00.000 Date: 2018-01-08,1.35641,1.35822,1.35065,1.35397
Time: 22:00:00.000 Date: 2018-01-09,1.35399,1.35621,1.34817,1.35071
Time: 22:00:00.000 Date: 2018-01-10,1.35058,1.35547,1.3458,1.35398
Time: 22:00:00.000 Date: 2018-01-11,1.35354,1.3744,1.35346,1.37275
Time: 22:00:00.000 Date: 2018-01-14,1.37248,1.38198,1.37237,1.37954
Time: 22:00:00.000 Date: 2018-01-15,1.37918,1.38056,1.37419,1.37905
Time: 22:00:00.000 Date: 2018-01-16,1.37917,1.39426,1.37568,1.38274
Time: 22:00:00.000 Date: 2018-01-17,1.38232,1.39132,1.3805,1.38934
Time: 22:00:00.000 Date: 2018-01-18,1.38905,1.39452,1.38384,1.38468
Time: 22:00:00.000 Date: 2018-01-21,1.38879,1.39906,1.3857,1.39878
Time: 22:00:00.000 Date: 2018-01-22,1.39815,1.40269,1.3916,1.39993
Time: 22:00:00.000 Date: 2018-01-23,1.40034,1.42622,1.3997,1.42353
Time: 22:00:00.000 Date: 2018-01-24,1.42354,1.43454,1.40831,1.41392
Time: 22:00:00.000 Date: 2018-01-25,1.41312,1.42866,1.41078,1.41552
Time: 22:00:00.000 Date: 2018-01-28,1.41288,1.41585,1.40256,1.40761
Time: 22:00:00.000 Date: 2018-01-29,1.40719,1.41664,1.39799,1.41489
Time: 22:00:00.000 Date: 2018-01-30,1.41432,1.42325,1.41222,1.41932
Time: 22:00:00.000 Date: 2018-01-31,1.41749,1.42782,1.41594,1.42629
Time: 22:00:00.000 Date: 2018-02-01,1.42507,1.42782,1.41014,1.41216
Time: 22:00:00.000 Date: 2018-02-04,1.41031,1.41506,1.39548,1.39588
Time: 22:00:00.000 Date: 2018-02-05,1.39546,1.39994,1.38363,1.39504
Time: 22:00:00.000 Date: 2018-02-06,1.39425,1.39939,1.38486,1.3881
Time: 22:00:00.000 Date: 2018-02-07,1.3871,1.40668,1.38457,1.39112
Time: 22:00:00.000 Date: 2018-02-08,1.39096,1.39871,1.37646,1.38248
Time: 22:00:00.000 Date: 2018-02-11,1.38033,1.38759,1.37959,1.38376
Time: 22:00:00.000 Date: 2018-02-12,1.38341,1.39242,1.38325,1.38922
Time: 22:00:00.000 Date: 2018-02-13,1.3888,1.40166,1.37999,1.39983
Time: 22:00:00.000 Date: 2018-02-14,1.39958,1.41033,1.39946,1.40993
Time: 22:00:00.000 Date: 2018-02-15,1.40945,1.41448,1.39966,1.40297
Time: 22:00:00.000 Date: 2018-02-18,1.40113,1.40495,1.39588,1.39966
Time: 22:00:00.000 Date: 2018-02-19,1.3997,1.40244,1.39314,1.39954
Time: 22:00:00.000 Date: 2018-02-20,1.39953,1.40088,1.39049,1.39169
Time: 22:00:00.000 Date: 2018-02-21,1.39172,1.3989,1.38567,1.39547
Time: 22:00:00.000 Date: 2018-02-22,1.39507,1.40053,1.39042,1.39678
Time: 22:00:00.000 Date: 2018-02-25,1.39804,1.407,1.39281,1.39664
Time: 22:00:00.000 Date: 2018-02-26,1.39655,1.39964,1.38577,1.39089
Time: 22:00:00.000 Date: 2018-02-27,1.39061,1.39162,1.37568,1.37597
Time: 22:00:00.000 Date: 2018-02-28,1.37584,1.37849,1.37118,1.37756
Time: 22:00:00.000 Date: 2018-03-01,1.37711,1.38167,1.37555,1.37993
Time: 22:00:00.000 Date: 2018-03-04,1.37958,1.38774,1.37667,1.3848
Time: 22:00:00.000 Date: 2018-03-05,1.38481,1.39294,1.38166,1.3888
Time: 22:00:00.000 Date: 2018-03-06,1.38874,1.39119,1.38462,1.39038
Time: 22:00:00.000 Date: 2018-03-07,1.38867,1.39101,1.37815,1.38125
Time: 22:00:00.000 Date: 2018-03-08,1.3807,1.3889,1.3788,1.38497
Time: 21:00:00.000 Date: 2018-03-11,1.38508,1.39177,1.38412,1.39044
Time: 21:00:00.000 Date: 2018-03-12,1.39047,1.3994,1.38746,1.3959
Time: 21:00:00.000 Date: 2018-03-13,1.39589,1.39957,1.39256,1.39611
Time: 21:00:00.000 Date: 2018-03-14,1.39614,1.39884,1.39216,1.39358
Time: 21:00:00.000 Date: 2018-03-15,1.39356,1.39806,1.38896,1.3937
Time: 21:00:00.000 Date: 2018-03-18,1.39456,1.40883,1.3913,1.40236
Time: 21:00:00.000 Date: 2018-03-19,1.40238,1.40665,1.39827,1.39975
Time: 21:00:00.000 Date: 2018-03-20,1.39973,1.41505,1.39944,1.4138
Time: 21:00:00.000 Date: 2018-03-21,1.41379,1.42185,1.40758,1.40967
Time: 21:00:00.000 Date: 2018-03-22,1.40948,1.41718,1.4085,1.41295
Time: 21:00:00.000 Date: 2018-03-25,1.41325,1.42448,1.41298,1.42305
Time: 21:00:00.000 Date: 2018-03-26,1.42293,1.42444,1.40658,1.41586
Time: 21:00:00.000 Date: 2018-03-27,1.41517,1.42002,1.40708,1.40764
Time: 21:00:00.000 Date: 2018-03-28,1.40759,1.40963,1.40107,1.40203
Time: 21:00:00.000 Date: 2018-03-29,1.40175,1.40598,1.40125,1.40183
Time: 21:00:00.000 Date: 2018-04-01,1.40198,1.40777,1.40164,1.40434
Time: 21:00:00.000 Date: 2018-04-02,1.40438,1.40888,1.40209,1.40589
Time: 21:00:00.000 Date: 2018-04-03,1.4053,1.40966,1.4015,1.408
Time: 21:00:00.000 Date: 2018-04-04,1.40786,1.40971,1.39655,1.40044
Time: 21:00:00.000 Date: 2018-04-05,1.40005,1.41054,1.39831,1.4088
Time: 21:00:00.000 Date: 2018-04-08,1.40905,1.41645,1.40783,1.41319
