Date Time,Open,High,Low,Close
Time: 14:26:00.000 Date: 2018-01-02,0.71118,0.71129,0.71116,0.71128
Time: 14:27:00.000 Date: 2018-01-02,0.71127,0.71127,0.71114,0.71118
Time: 14:28:00.000 Date: 2018-01-02,0.71119,0.71119,0.71107,0.71108
Time: 14:29:00.000 Date: 2018-01-02,0.71107,0.71116,0.71106,0.71107
Time: 14:30:00.000 Date: 2018-01-02,0.71108,0.71109,0.71094,0.71097
Time: 14:31:00.000 Date: 2018-01-02,0.71098,0.7111,0.71096,0.71107
Time: 14:32:00.000 Date: 2018-01-02,0.71108,0.71119,0.71107,0.71116
Time: 14:33:00.000 Date: 2018-01-02,0.71111,0.71137,0.71111,0.71136
Time: 14:34:00.000 Date: 2018-01-02,0.71133,0.71137,0.71126,0.71126
Time: 14:35:00.000 Date: 2018-01-02,0.71125,0.71125,0.71099,0.71099
Time: 14:36:00.000 Date: 2018-01-02,0.71098,0.71105,0.7109,0.71091
Time: 14:37:00.000 Date: 2018-01-02,0.71092,0.711,0.71086,0.71096
Time: 14:38:00.000 Date: 2018-01-02,0.71097,0.71098,0.71085,0.71086
Time: 14:39:00.000 Date: 2018-01-02,0.71084,0.71087,0.71076,0.71076
Time: 14:40:00.000 Date: 2018-01-02,0.71075,0.71081,0.71071,0.71075
Time: 14:41:00.000 Date: 2018-01-02,0.71076,0.71076,0.71058,0.71064
Time: 14:42:00.000 Date: 2018-01-02,0.71063,0.71066,0.71063,0.71065
Time: 14:43:00.000 Date: 2018-01-02,0.71067,0.71068,0.71065,0.71066
Time: 14:44:00.000 Date: 2018-01-02,0.71065,0.71088,0.71065,0.71088
Time: 14:45:00.000 Date: 2018-01-02,0.71087,0.71088,0.71081,0.71087
Time: 14:46:00.000 Date: 2018-01-02,0.71084,0.71087,0.71076,0.71077
Time: 14:47:00.000 Date: 2018-01-02,0.71076,0.71087,0.71075,0.71086
Time: 14:48:00.000 Date: 2018-01-02,0.71088,0.71088,0.71074,0.71087
Time: 14:49:00.000 Date: 2018-01-02,0.71086,0.71088,0.71077,0.71086
Time: 14:50:00.000 Date: 2018-01-02,0.71081,0.71081,0.71061,0.71064
Time: 14:51:00.000 Date: 2018-01-02,0.71065,0.71077,0.71065,0.71077
Time: 14:52:00.000 Date: 2018-01-02,0.71073,0.71077,0.71071,0.71076
Time: 14:53:00.000 Date: 2018-01-02,0.71075,0.71076,0.71062,0.71064
Time: 14:54:00.000 Date: 2018-01-02,0.71063,0.71066,0.71055,0.71057
Time: 14:55:00.000 Date: 2018-01-02,0.71056,0.71076,0.71049,0.7106
Time: 14:56:00.000 Date: 2018-01-02,0.71059,0.71073,0.71058,0.71068
Time: 14:57:00.000 Date: 2018-01-02,0.7107,0.71075,0.71066,0.71073
Time: 14:58:00.000 Date: 2018-01-02,0.71071,0.71072,0.71056,0.71056
Time: 14:59:00.000 Date: 2018-01-02,0.71052,0.71063,0.71045,0.71049
Time: 15:00:00.000 Date: 2018-01-02,0.71048,0.71061,0.71044,0.71057
Time: 15:01:00.000 Date: 2018-01-02,0.71058,0.71068,0.71042,0.7105
Time: 15:02:00.000 Date: 2018-01-02,0.71049,0.7109,0.71042,0.71086
Time: 15:03:00.000 Date: 2018-01-02,0.71084,0.71088,0.71071,0.71078
Time: 15:04:00.000 Date: 2018-01-02,0.71077,0.71078,0.7107,0.71076
Time: 15:05:00.000 Date: 2018-01-02,0.71078,0.71078,0.71056,0.7106
Time: 15:06:00.000 Date: 2018-01-02,0.71059,0.71069,0.71056,0.71056
Time: 15:07:00.000 Date: 2018-01-02,0.71057,0.71058,0.7105,0.71057
Time: 15:08:00.000 Date: 2018-01-02,0.71056,0.71064,0.71056,0.71064
Time: 15:09:00.000 Date: 2018-01-02,0.71065,0.71067,0.71065,0.71066
Time: 15:10:00.000 Date: 2018-01-02,0.71067,0.71072,0.71056,0.71067
Time: 15:11:00.000 Date: 2018-01-02,0.71068,0.71075,0.71062,0.71062
Time: 15:12:00.000 Date: 2018-01-02,0.7106,0.71067,0.71058,0.71066
Time: 15:13:00.000 Date: 2018-01-02,0.71058,0.71058,0.71045,0.71057
Time: 15:14:00.000 Date: 2018-01-02,0.71056,0.71059,0.71053,0.71056
Time: 15:15:00.000 Date: 2018-01-02,0.71057,0.71058,0.71049,0.71049
Time: 15:16:00.000 Date: 2018-01-02,0.71045,0.71048,0.71023,0.71037
Time: 15:17:00.000 Date: 2018-01-02,0.71039,0.71041,0.71034,0.71037
Time: 15:18:00.000 Date: 2018-01-02,0.71039,0.71059,0.71039,0.71049
Time: 15:19:00.000 Date: 2018-01-02,0.71048,0.71063,0.71048,0.71059
Time: 15:20:00.000 Date: 2018-01-02,0.71058,0.71058,0.71036,0.71037
Time: 15:21:00.000 Date: 2018-01-02,0.71036,0.71037,0.71027,0.7103
Time: 15:22:00.000 Date: 2018-01-02,0.71028,0.71036,0.71021,0.71029
Time: 15:23:00.000 Date: 2018-01-02,0.7103,0.71038,0.71029,0.7103
Time: 15:24:00.000 Date: 2018-01-02,0.71033,0.71037,0.71025,0.71025
Time: 15:25:00.000 Date: 2018-01-02,0.71026,0.71033,0.71025,0.71033
Time: 15:26:00.000 Date: 2018-01-02,0.71031,0.71043,0.71031,0.71039
Time: 15:27:00.000 Date: 2018-01-02,0.71042,0.71045,0.71035,0.71035
Time: 15:28:00.000 Date: 2018-01-02,0.71032,0.71032,0.71015,0.71024
Time: 15:29:00.000 Date: 2018-01-02,0.71025,0.71025,0.71013,0.71015
Time: 15:30:00.000 Date: 2018-01-02,0.71014,0.7102,0.71002,0.71005
Time: 15:31:00.000 Date: 2018-01-02,0.71006,0.71008,0.70999,0.71006
Time: 15:32:00.000 Date: 2018-01-02,0.71007,0.71016,0.71004,0.71016
Time: 15:33:00.000 Date: 2018-01-02,0.71017,0.71028,0.71015,0.71026
Time: 15:34:00.000 Date: 2018-01-02,0.71025,0.71029,0.71025,0.71029
Time: 15:35:00.000 Date: 2018-01-02,0.71028,0.71045,0.71028,0.71043
Time: 15:36:00.000 Date: 2018-01-02,0.71045,0.71046,0.71044,0.71045
Time: 15:37:00.000 Date: 2018-01-02,0.71046,0.71058,0.71046,0.71058
Time: 15:38:00.000 Date: 2018-01-02,0.71057,0.7106,0.71057,0.71059
Time: 15:39:00.000 Date: 2018-01-02,0.7106,0.71061,0.71056,0.71058
Time: 15:40:00.000 Date: 2018-01-02,0.71057,0.71059,0.71046,0.71052
Time: 15:41:00.000 Date: 2018-01-02,0.71051,0.71053,0.71042,0.71046
Time: 15:42:00.000 Date: 2018-01-02,0.71047,0.71056,0.7104,0.7104
Time: 15:43:00.000 Date: 2018-01-02,0.71041,0.71046,0.7103,0.71036
Time: 15:44:00.000 Date: 2018-01-02,0.71034,0.71034,0.71027,0.71029
Time: 15:45:00.000 Date: 2018-01-02,0.71028,0.71034,0.71026,0.71029
Time: 15:46:00.000 Date: 2018-01-02,0.71028,0.71032,0.71025,0.7103
Time: 15:47:00.000 Date: 2018-01-02,0.71031,0.71039,0.71031,0.71035
Time: 15:48:00.000 Date: 2018-01-02,0.71036,0.71037,0.71029,0.71033
Time: 15:49:00.000 Date: 2018-01-02,0.71032,0.71033,0.7103,0.71031
Time: 14:25:00.000 Date: 2018-01-03,0.71001,0.71005,0.70999,0.71
Time: 14:26:00.000 Date: 2018-01-03,0.70999,0.70999,0.70965,0.70967
Time: 14:27:00.000 Date: 2018-01-03,0.70966,0.70967,0.70964,0.70967
Time: 14:28:00.000 Date: 2018-01-03,0.70966,0.70967,0.70961,0.70966
Time: 14:29:00.000 Date: 2018-01-03,0.70965,0.70967,0.70956,0.70957
Time: 14:30:00.000 Date: 2018-01-03,0.70958,0.70958,0.70945,0.70953
Time: 14:31:00.000 Date: 2018-01-03,0.70952,0.70969,0.70944,0.70967
