Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,0.97193,0.97204,0.97192,0.97203
Time: 17:27:00.000 Date: 2018-01-02,0.97204,0.97204,0.97193,0.97199
Time: 17:28:00.000 Date: 2018-01-02,0.972,0.97223,0.972,0.97212
Time: 17:29:00.000 Date: 2018-01-02,0.97211,0.97227,0.97211,0.97225
Time: 17:30:00.000 Date: 2018-01-02,0.97217,0.97226,0.97208,0.97226
Time: 17:31:00.000 Date: 2018-01-02,0.97225,0.97227,0.97215,0.97215
Time: 17:32:00.000 Date: 2018-01-02,0.97218,0.97218,0.97207,0.97212
Time: 17:33:00.000 Date: 2018-01-02,0.97213,0.97223,0.97207,0.97215
Time: 17:34:00.000 Date: 2018-01-02,0.97214,0.97224,0.97214,0.97222
Time: 17:35:00.000 Date: 2018-01-02,0.97224,0.97224,0.97211,0.97213
Time: 17:36:00.000 Date: 2018-01-02,0.97215,0.97232,0.97214,0.97215
Time: 17:37:00.000 Date: 2018-01-02,0.97217,0.97225,0.97217,0.97221
Time: 17:38:00.000 Date: 2018-01-02,0.97223,0.97234,0.97223,0.97224
Time: 17:39:00.000 Date: 2018-01-02,0.97223,0.97224,0.97216,0.97223
Time: 17:40:00.000 Date: 2018-01-02,0.97224,0.97226,0.9722,0.97224
Time: 17:41:00.000 Date: 2018-01-02,0.97225,0.97228,0.9722,0.97223
Time: 17:42:00.000 Date: 2018-01-02,0.97221,0.97221,0.97211,0.97211
Time: 17:43:00.000 Date: 2018-01-02,0.97212,0.97212,0.97195,0.97195
Time: 17:44:00.000 Date: 2018-01-02,0.97199,0.97204,0.97187,0.97204
Time: 17:45:00.000 Date: 2018-01-02,0.97203,0.97203,0.97184,0.97197
Time: 17:46:00.000 Date: 2018-01-02,0.97202,0.9721,0.97202,0.97205
Time: 17:47:00.000 Date: 2018-01-02,0.97204,0.97216,0.97204,0.97214
Time: 17:48:00.000 Date: 2018-01-02,0.97217,0.97219,0.97217,0.97219
Time: 17:49:00.000 Date: 2018-01-02,0.97221,0.97225,0.97219,0.97225
Time: 17:50:00.000 Date: 2018-01-02,0.9723,0.97243,0.9723,0.9724
Time: 17:51:00.000 Date: 2018-01-02,0.97239,0.97241,0.97232,0.97237
Time: 17:52:00.000 Date: 2018-01-02,0.97234,0.97234,0.97225,0.97231
Time: 17:53:00.000 Date: 2018-01-02,0.97232,0.97246,0.97232,0.97245
Time: 17:54:00.000 Date: 2018-01-02,0.97244,0.97247,0.97242,0.97245
Time: 17:55:00.000 Date: 2018-01-02,0.97244,0.97257,0.97242,0.97245
Time: 17:56:00.000 Date: 2018-01-02,0.97244,0.97246,0.97233,0.97242
