Date Time,Open,High,Low,Close
Time: 14:26:00.000 Date: 2018-01-02,112.12,112.135,112.12,112.125
Time: 14:27:00.000 Date: 2018-01-02,112.124,112.134,112.123,112.133
Time: 14:28:00.000 Date: 2018-01-02,112.134,112.14,112.13,112.138
Time: 14:29:00.000 Date: 2018-01-02,112.134,112.134,112.119,112.12
Time: 14:30:00.000 Date: 2018-01-02,112.121,112.127,112.103,112.114
Time: 14:31:00.000 Date: 2018-01-02,112.116,112.12,112.111,112.114
Time: 14:32:00.000 Date: 2018-01-02,112.116,112.127,112.113,112.125
Time: 14:33:00.000 Date: 2018-01-02,112.124,112.127,112.115,112.116
Time: 14:34:00.000 Date: 2018-01-02,112.115,112.121,112.109,112.12
Time: 14:35:00.000 Date: 2018-01-02,112.121,112.14,112.121,112.139
Time: 14:36:00.000 Date: 2018-01-02,112.14,112.14,112.127,112.139
Time: 14:37:00.000 Date: 2018-01-02,112.14,112.151,112.139,112.146
Time: 14:38:00.000 Date: 2018-01-02,112.145,112.155,112.143,112.152
Time: 14:39:00.000 Date: 2018-01-02,112.153,112.169,112.153,112.165
Time: 14:40:00.000 Date: 2018-01-02,112.168,112.19,112.167,112.185
Time: 14:41:00.000 Date: 2018-01-02,112.184,112.189,112.18,112.184
Time: 14:42:00.000 Date: 2018-01-02,112.183,112.188,112.176,112.178
Time: 14:43:00.000 Date: 2018-01-02,112.18,112.181,112.168,112.17
Time: 14:44:00.000 Date: 2018-01-02,112.171,112.172,112.163,112.164
Time: 14:45:00.000 Date: 2018-01-02,112.165,112.177,112.162,112.164
Time: 14:46:00.000 Date: 2018-01-02,112.167,112.178,112.163,112.176
Time: 14:47:00.000 Date: 2018-01-02,112.177,112.182,112.17,112.177
Time: 14:48:00.000 Date: 2018-01-02,112.178,112.189,112.175,112.18
Time: 14:49:00.000 Date: 2018-01-02,112.181,112.184,112.162,112.169
Time: 14:50:00.000 Date: 2018-01-02,112.168,112.202,112.166,112.199
Time: 14:51:00.000 Date: 2018-01-02,112.198,112.202,112.19,112.197
Time: 14:52:00.000 Date: 2018-01-02,112.199,112.218,112.199,112.216
Time: 14:53:00.000 Date: 2018-01-02,112.215,112.234,112.215,112.226
Time: 14:54:00.000 Date: 2018-01-02,112.227,112.246,112.225,112.233
Time: 14:55:00.000 Date: 2018-01-02,112.232,112.247,112.223,112.226
Time: 14:56:00.000 Date: 2018-01-02,112.227,112.232,112.213,112.217
Time: 14:57:00.000 Date: 2018-01-02,112.218,112.226,112.215,112.216
Time: 14:58:00.000 Date: 2018-01-02,112.217,112.221,112.207,112.221
Time: 14:59:00.000 Date: 2018-01-02,112.22,112.237,112.217,112.231
Time: 15:00:00.000 Date: 2018-01-02,112.23,112.262,112.217,112.262
Time: 15:01:00.000 Date: 2018-01-02,112.261,112.269,112.249,112.262
Time: 15:02:00.000 Date: 2018-01-02,112.261,112.262,112.229,112.233
Time: 15:03:00.000 Date: 2018-01-02,112.232,112.255,112.231,112.25
Time: 15:04:00.000 Date: 2018-01-02,112.251,112.261,112.244,112.247
Time: 15:05:00.000 Date: 2018-01-02,112.246,112.251,112.235,112.238
Time: 15:06:00.000 Date: 2018-01-02,112.236,112.258,112.236,112.257
Time: 15:07:00.000 Date: 2018-01-02,112.258,112.259,112.239,112.24
Time: 15:08:00.000 Date: 2018-01-02,112.241,112.242,112.231,112.231
Time: 15:09:00.000 Date: 2018-01-02,112.232,112.235,112.23,112.231
Time: 15:10:00.000 Date: 2018-01-02,112.23,112.235,112.21,112.217
Time: 15:11:00.000 Date: 2018-01-02,112.216,112.227,112.208,112.226
Time: 15:12:00.000 Date: 2018-01-02,112.23,112.23,112.218,112.224
Time: 15:13:00.000 Date: 2018-01-02,112.225,112.246,112.223,112.229
Time: 15:14:00.000 Date: 2018-01-02,112.231,112.234,112.206,112.206
Time: 15:15:00.000 Date: 2018-01-02,112.207,112.225,112.207,112.222
Time: 15:16:00.000 Date: 2018-01-02,112.223,112.228,112.215,112.218
Time: 15:17:00.000 Date: 2018-01-02,112.217,112.226,112.211,112.218
Time: 15:18:00.000 Date: 2018-01-02,112.219,112.222,112.196,112.197
Time: 15:19:00.000 Date: 2018-01-02,112.2,112.203,112.182,112.187
Time: 15:20:00.000 Date: 2018-01-02,112.189,112.204,112.189,112.203
Time: 15:21:00.000 Date: 2018-01-02,112.204,112.219,112.202,112.205
Time: 15:22:00.000 Date: 2018-01-02,112.204,112.228,112.204,112.215
Time: 15:23:00.000 Date: 2018-01-02,112.216,112.217,112.205,112.215
Time: 15:24:00.000 Date: 2018-01-02,112.216,112.216,112.204,112.21
Time: 15:25:00.000 Date: 2018-01-02,112.211,112.215,112.206,112.206
Time: 15:26:00.000 Date: 2018-01-02,112.207,112.208,112.189,112.19
Time: 15:27:00.000 Date: 2018-01-02,112.191,112.198,112.187,112.197
