Date Time,Open,High,Low,Close
Time: 14:26:00.000 Date: 2018-01-02,19.47332,19.47366,19.46616,19.46734
Time: 14:27:00.000 Date: 2018-01-02,19.46747,19.47028,19.46732,19.46963
Time: 14:28:00.000 Date: 2018-01-02,19.46964,19.47139,19.46414,19.46604
Time: 14:29:00.000 Date: 2018-01-02,19.46621,19.47365,19.46616,19.47265
Time: 14:30:00.000 Date: 2018-01-02,19.47385,19.47781,19.46945,19.47216
Time: 14:31:00.000 Date: 2018-01-02,19.47215,19.47465,19.46989,19.47384
Time: 14:32:00.000 Date: 2018-01-02,19.47403,19.47416,19.46706,19.47315
Time: 14:33:00.000 Date: 2018-01-02,19.47314,19.47625,19.47265,19.47482
Time: 14:34:00.000 Date: 2018-01-02,19.47481,19.47481,19.46447,19.46536
Time: 14:35:00.000 Date: 2018-01-02,19.46676,19.47719,19.46563,19.47665
Time: 14:36:00.000 Date: 2018-01-02,19.47661,19.48518,19.4757,19.48516
Time: 14:37:00.000 Date: 2018-01-02,19.48515,19.48965,19.48127,19.48406
Time: 14:38:00.000 Date: 2018-01-02,19.48394,19.48394,19.47616,19.47909
Time: 14:39:00.000 Date: 2018-01-02,19.47928,19.47945,19.47266,19.47451
Time: 14:40:00.000 Date: 2018-01-02,19.47434,19.48615,19.47353,19.48566
Time: 14:41:00.000 Date: 2018-01-02,19.48518,19.48733,19.48256,19.48712
Time: 14:42:00.000 Date: 2018-01-02,19.48684,19.48765,19.48475,19.48509
Time: 14:43:00.000 Date: 2018-01-02,19.48466,19.48566,19.48405,19.48515
Time: 14:44:00.000 Date: 2018-01-02,19.48565,19.48568,19.48281,19.48316
Time: 14:45:00.000 Date: 2018-01-02,19.48315,19.48432,19.48238,19.48361
Time: 14:46:00.000 Date: 2018-01-02,19.48344,19.48818,19.48271,19.48816
Time: 14:47:00.000 Date: 2018-01-02,19.48829,19.48916,19.48681,19.48816
Time: 14:48:00.000 Date: 2018-01-02,19.4869,19.48717,19.48401,19.48401
Time: 14:49:00.000 Date: 2018-01-02,19.48392,19.48392,19.48175,19.48211
Time: 14:50:00.000 Date: 2018-01-02,19.48228,19.4864,19.47836,19.47976
Time: 14:51:00.000 Date: 2018-01-02,19.47939,19.48318,19.47891,19.48266
Time: 14:52:00.000 Date: 2018-01-02,19.48217,19.48766,19.48215,19.48766
Time: 14:53:00.000 Date: 2018-01-02,19.48767,19.48788,19.48503,19.48503
Time: 14:54:00.000 Date: 2018-01-02,19.48516,19.48842,19.48167,19.48224
Time: 14:55:00.000 Date: 2018-01-02,19.48192,19.49181,19.48109,19.49153
Time: 14:56:00.000 Date: 2018-01-02,19.49166,19.49915,19.48916,19.49661
Time: 14:57:00.000 Date: 2018-01-02,19.49623,19.49659,19.49244,19.49258
Time: 14:58:00.000 Date: 2018-01-02,19.4925,19.49399,19.4889,19.48977
Time: 14:59:00.000 Date: 2018-01-02,19.48983,19.49153,19.48866,19.49037
Time: 15:00:00.000 Date: 2018-01-02,19.49024,19.49024,19.48507,19.48594
Time: 15:01:00.000 Date: 2018-01-02,19.48589,19.48868,19.48554,19.48554
Time: 15:02:00.000 Date: 2018-01-02,19.48555,19.48555,19.4787,19.4787
Time: 15:03:00.000 Date: 2018-01-02,19.47816,19.47816,19.47308,19.4735
Time: 15:04:00.000 Date: 2018-01-02,19.47329,19.4802,19.47133,19.47808
Time: 15:05:00.000 Date: 2018-01-02,19.4781,19.48256,19.47746,19.48188
Time: 15:06:00.000 Date: 2018-01-02,19.48192,19.48317,19.46927,19.47027
Time: 15:07:00.000 Date: 2018-01-02,19.47028,19.47056,19.46476,19.46821
Time: 15:08:00.000 Date: 2018-01-02,19.4681,19.4681,19.46166,19.46167
Time: 15:09:00.000 Date: 2018-01-02,19.46166,19.46694,19.45926,19.46601
Time: 15:10:00.000 Date: 2018-01-02,19.46547,19.47377,19.4653,19.47022
Time: 15:11:00.000 Date: 2018-01-02,19.47023,19.47023,19.46484,19.46608
Time: 15:12:00.000 Date: 2018-01-02,19.46623,19.4687,19.4639,19.4687
Time: 15:13:00.000 Date: 2018-01-02,19.46922,19.48026,19.46922,19.47615
Time: 15:14:00.000 Date: 2018-01-02,19.47766,19.48495,19.47289,19.48495
Time: 15:15:00.000 Date: 2018-01-02,19.48568,19.48906,19.4855,19.48591
Time: 15:16:00.000 Date: 2018-01-02,19.48611,19.48845,19.486,19.486
Time: 15:17:00.000 Date: 2018-01-02,19.48605,19.48626,19.48177,19.48242
Time: 15:18:00.000 Date: 2018-01-02,19.48243,19.48888,19.48016,19.48888
Time: 15:19:00.000 Date: 2018-01-02,19.48886,19.49136,19.48626,19.49055
Time: 15:20:00.000 Date: 2018-01-02,19.48976,19.4909,19.48753,19.48936
Time: 15:21:00.000 Date: 2018-01-02,19.48965,19.49555,19.48877,19.48993
Time: 15:22:00.000 Date: 2018-01-02,19.49008,19.49646,19.49008,19.49616
Time: 15:23:00.000 Date: 2018-01-02,19.49604,19.51026,19.49432,19.51026
Time: 15:24:00.000 Date: 2018-01-02,19.51066,19.51682,19.5013,19.51533
Time: 15:25:00.000 Date: 2018-01-02,19.51444,19.51626,19.51188,19.51248
Time: 15:26:00.000 Date: 2018-01-02,19.51227,19.51315,19.50605,19.50605
Time: 15:27:00.000 Date: 2018-01-02,19.50293,19.50368,19.49755,19.49796
Time: 15:28:00.000 Date: 2018-01-02,19.49798,19.50162,19.49388,19.49518
Time: 15:29:00.000 Date: 2018-01-02,19.49565,19.50189,19.4952,19.50189
Time: 15:30:00.000 Date: 2018-01-02,19.50188,19.51896,19.50188,19.51846
Time: 15:31:00.000 Date: 2018-01-02,19.51845,19.51858,19.51617,19.51617
Time: 15:32:00.000 Date: 2018-01-02,19.51618,19.5226,19.51595,19.5226
Time: 15:33:00.000 Date: 2018-01-02,19.52252,19.52906,19.5222,19.52766
Time: 15:34:00.000 Date: 2018-01-02,19.52816,19.54035,19.52712,19.53836
Time: 15:35:00.000 Date: 2018-01-02,19.53738,19.54101,19.53253,19.53253
Time: 15:36:00.000 Date: 2018-01-02,19.53252,19.53276,19.52658,19.52757
Time: 15:37:00.000 Date: 2018-01-02,19.52712,19.53343,19.52584,19.52788
Time: 15:38:00.000 Date: 2018-01-02,19.52857,19.53222,19.52696,19.52818
Time: 15:39:00.000 Date: 2018-01-02,19.52807,19.52896,19.52744,19.52866
Time: 15:40:00.000 Date: 2018-01-02,19.52841,19.52901,19.52413,19.52608
Time: 15:41:00.000 Date: 2018-01-02,19.526,19.52785,19.52495,19.52585
Time: 15:42:00.000 Date: 2018-01-02,19.52616,19.52766,19.52179,19.52471
Time: 15:43:00.000 Date: 2018-01-02,19.52487,19.52615,19.52396,19.52446
Time: 15:44:00.000 Date: 2018-01-02,19.52437,19.52618,19.52103,19.52216
Time: 15:45:00.000 Date: 2018-01-02,19.52245,19.52557,19.52065,19.52116
Time: 15:46:00.000 Date: 2018-01-02,19.52058,19.53017,19.51744,19.52583
Time: 15:47:00.000 Date: 2018-01-02,19.52527,19.52921,19.52166,19.52421
Time: 15:48:00.000 Date: 2018-01-02,19.52422,19.53188,19.52422,19.52859
Time: 15:49:00.000 Date: 2018-01-02,19.52882,19.53075,19.52843,19.52945
Time: 14:25:00.000 Date: 2018-01-03,19.36111,19.36411,19.3553,19.35577
Time: 14:26:00.000 Date: 2018-01-03,19.35615,19.36015,19.35583,19.35965
Time: 14:27:00.000 Date: 2018-01-03,19.35972,19.36029,19.35694,19.35728
Time: 14:28:00.000 Date: 2018-01-03,19.35729,19.35752,19.3547,19.35752
Time: 14:29:00.000 Date: 2018-01-03,19.35716,19.36059,19.35716,19.36052
Time: 14:30:00.000 Date: 2018-01-03,19.3609,19.36466,19.36021,19.36466
