Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,3.76597,3.7662,3.7659,3.7661
Time: 17:27:00.000 Date: 2018-01-02,3.76635,3.76653,3.7663,3.7663
Time: 17:28:00.000 Date: 2018-01-02,3.7669,3.76699,3.76645,3.76699
Time: 17:29:00.000 Date: 2018-01-02,3.76708,3.76708,3.7669,3.7669
Time: 17:30:00.000 Date: 2018-01-02,3.76675,3.76692,3.76675,3.7669
Time: 17:31:00.000 Date: 2018-01-02,3.76695,3.76702,3.76625,3.7663
Time: 17:32:00.000 Date: 2018-01-02,3.76632,3.76632,3.76625,3.7663
Time: 17:33:00.000 Date: 2018-01-02,3.7664,3.7671,3.76615,3.76687
Time: 17:34:00.000 Date: 2018-01-02,3.7669,3.76695,3.76685,3.7669
Time: 17:35:00.000 Date: 2018-01-02,3.76695,3.76715,3.7669,3.76705
Time: 17:36:00.000 Date: 2018-01-02,3.767,3.76715,3.767,3.7671
Time: 17:37:00.000 Date: 2018-01-02,3.76705,3.7671,3.76685,3.76694
Time: 17:39:00.000 Date: 2018-01-02,3.76685,3.7669,3.76685,3.7669
Time: 17:40:00.000 Date: 2018-01-02,3.76687,3.76699,3.76686,3.76691
Time: 17:41:00.000 Date: 2018-01-02,3.76685,3.76704,3.76685,3.76698
Time: 17:42:00.000 Date: 2018-01-02,3.76693,3.76703,3.76675,3.76675
Time: 17:43:00.000 Date: 2018-01-02,3.7668,3.7668,3.76675,3.76675
Time: 17:44:00.000 Date: 2018-01-02,3.76685,3.76695,3.76685,3.76695
Time: 17:45:00.000 Date: 2018-01-02,3.7669,3.7669,3.76675,3.7669
Time: 17:47:00.000 Date: 2018-01-02,3.7668,3.76695,3.7668,3.7669
Time: 17:49:00.000 Date: 2018-01-02,3.767,3.7671,3.76695,3.76705
Time: 17:50:00.000 Date: 2018-01-02,3.7671,3.76725,3.7671,3.76725
Time: 17:51:00.000 Date: 2018-01-02,3.7672,3.7673,3.7672,3.76725
Time: 17:52:00.000 Date: 2018-01-02,3.7672,3.76725,3.76715,3.76715
Time: 17:53:00.000 Date: 2018-01-02,3.7672,3.7672,3.76704,3.7671
Time: 17:54:00.000 Date: 2018-01-02,3.76715,3.76715,3.76705,3.7671
Time: 17:55:00.000 Date: 2018-01-02,3.7672,3.7677,3.76715,3.76765
Time: 17:56:00.000 Date: 2018-01-02,3.7676,3.7676,3.7672,3.7672
Time: 17:57:00.000 Date: 2018-01-02,3.7671,3.76729,3.76707,3.7672
Time: 17:58:00.000 Date: 2018-01-02,3.76715,3.76835,3.76687,3.7681
Time: 17:59:00.000 Date: 2018-01-02,3.76815,3.76825,3.768,3.76805
Time: 18:00:00.000 Date: 2018-01-02,3.7679,3.76941,3.76775,3.7693
Time: 18:01:00.000 Date: 2018-01-02,3.7694,3.7694,3.76925,3.76925
Time: 18:02:00.000 Date: 2018-01-02,3.76929,3.76935,3.76925,3.76925
Time: 18:03:00.000 Date: 2018-01-02,3.76945,3.77015,3.7692,3.77015
Time: 18:04:00.000 Date: 2018-01-02,3.77,3.7702,3.77,3.77005
Time: 18:05:00.000 Date: 2018-01-02,3.7701,3.77015,3.76995,3.76995
Time: 18:06:00.000 Date: 2018-01-02,3.7699,3.77025,3.76985,3.76995
Time: 18:07:00.000 Date: 2018-01-02,3.76985,3.76985,3.7695,3.7695
Time: 18:08:00.000 Date: 2018-01-02,3.7696,3.77115,3.7695,3.7711
Time: 18:09:00.000 Date: 2018-01-02,3.77105,3.77105,3.77099,3.771
Time: 18:10:00.000 Date: 2018-01-02,3.77105,3.7715,3.77105,3.77135
Time: 18:11:00.000 Date: 2018-01-02,3.7713,3.7715,3.7713,3.77135
Time: 18:12:00.000 Date: 2018-01-02,3.7713,3.77135,3.7713,3.7713
Time: 18:13:00.000 Date: 2018-01-02,3.77146,3.77175,3.77146,3.7715
Time: 18:14:00.000 Date: 2018-01-02,3.77155,3.7716,3.7714,3.7714
Time: 18:16:00.000 Date: 2018-01-02,3.77135,3.77145,3.77135,3.77145
Time: 18:17:00.000 Date: 2018-01-02,3.7714,3.77145,3.7714,3.77145
Time: 18:18:00.000 Date: 2018-01-02,3.7714,3.7714,3.77135,3.7714
Time: 18:19:00.000 Date: 2018-01-02,3.77135,3.7714,3.77128,3.77128
Time: 18:20:00.000 Date: 2018-01-02,3.77125,3.77125,3.77125,3.77125
Time: 18:21:00.000 Date: 2018-01-02,3.7713,3.7714,3.77124,3.77135
Time: 18:22:00.000 Date: 2018-01-02,3.7713,3.7713,3.77035,3.77035
Time: 18:23:00.000 Date: 2018-01-02,3.77025,3.7703,3.77025,3.7703
Time: 18:24:00.000 Date: 2018-01-02,3.7702,3.7702,3.77015,3.77015
Time: 18:25:00.000 Date: 2018-01-02,3.7702,3.7702,3.77015,3.7702
Time: 18:26:00.000 Date: 2018-01-02,3.77045,3.77065,3.77,3.77
Time: 18:27:00.000 Date: 2018-01-02,3.76995,3.77,3.76995,3.77
Time: 18:28:00.000 Date: 2018-01-02,3.76995,3.77,3.7689,3.7691
Time: 18:29:00.000 Date: 2018-01-02,3.769,3.769,3.7688,3.7688
Time: 18:30:00.000 Date: 2018-01-02,3.76875,3.76973,3.7686,3.7691
Time: 18:31:00.000 Date: 2018-01-02,3.76905,3.7691,3.76905,3.76905
Time: 18:32:00.000 Date: 2018-01-02,3.7691,3.76938,3.7691,3.76938
Time: 18:33:00.000 Date: 2018-01-02,3.7693,3.7693,3.7692,3.7692
Time: 18:34:00.000 Date: 2018-01-02,3.76915,3.7693,3.76915,3.76925
Time: 18:35:00.000 Date: 2018-01-02,3.7693,3.7693,3.76925,3.7693
Time: 18:36:00.000 Date: 2018-01-02,3.76925,3.76955,3.76925,3.7693
Time: 18:37:00.000 Date: 2018-01-02,3.76935,3.7701,3.76935,3.77
Time: 18:38:00.000 Date: 2018-01-02,3.76995,3.77,3.76975,3.76995
Time: 18:39:00.000 Date: 2018-01-02,3.7699,3.77066,3.7699,3.77066
Time: 18:40:00.000 Date: 2018-01-02,3.7707,3.77086,3.7706,3.77083
Time: 18:41:00.000 Date: 2018-01-02,3.77076,3.77081,3.77067,3.77067
Time: 18:42:00.000 Date: 2018-01-02,3.77075,3.7713,3.77075,3.77121
Time: 18:43:00.000 Date: 2018-01-02,3.77125,3.77143,3.77121,3.77137
Time: 18:44:00.000 Date: 2018-01-02,3.77145,3.77145,3.77145,3.77145
Time: 18:45:00.000 Date: 2018-01-02,3.77139,3.7714,3.7708,3.77113
Time: 18:47:00.000 Date: 2018-01-02,3.77119,3.77119,3.77119,3.77119
Time: 18:49:00.000 Date: 2018-01-02,3.77085,3.77085,3.77058,3.77058
Time: 17:25:00.000 Date: 2018-01-03,3.76249,3.76251,3.76249,3.76251
Time: 17:26:00.000 Date: 2018-01-03,3.76252,3.76252,3.76252,3.76252
Time: 17:27:00.000 Date: 2018-01-03,3.76251,3.76251,3.76251,3.76251
Time: 17:28:00.000 Date: 2018-01-03,3.76252,3.76252,3.76252,3.76252
Time: 17:29:00.000 Date: 2018-01-03,3.76251,3.76252,3.76251,3.76252
Time: 17:32:00.000 Date: 2018-01-03,3.76254,3.76255,3.76254,3.76255
Time: 17:33:00.000 Date: 2018-01-03,3.76254,3.76254,3.76254,3.76254
Time: 17:34:00.000 Date: 2018-01-03,3.76253,3.76253,3.76253,3.76253
Time: 17:35:00.000 Date: 2018-01-03,3.76245,3.76265,3.76245,3.7626
Time: 17:36:00.000 Date: 2018-01-03,3.76255,3.76265,3.76255,3.76264
Time: 17:37:00.000 Date: 2018-01-03,3.76265,3.76265,3.76261,3.76262
Time: 17:38:00.000 Date: 2018-01-03,3.76265,3.76265,3.76261,3.76265
Time: 17:39:00.000 Date: 2018-01-03,3.76261,3.76265,3.76261,3.76262
Time: 17:40:00.000 Date: 2018-01-03,3.76261,3.76275,3.76261,3.76265
Time: 17:41:00.000 Date: 2018-01-03,3.76275,3.76275,3.76261,3.76261
Time: 17:42:00.000 Date: 2018-01-03,3.76265,3.7627,3.76261,3.76261
Time: 17:43:00.000 Date: 2018-01-03,3.7627,3.7627,3.76261,3.76265
Time: 17:44:00.000 Date: 2018-01-03,3.76261,3.76265,3.76261,3.76261
Time: 17:45:00.000 Date: 2018-01-03,3.76265,3.76275,3.76265,3.7627
Time: 17:46:00.000 Date: 2018-01-03,3.76275,3.7635,3.7627,3.7635
Time: 17:47:00.000 Date: 2018-01-03,3.76355,3.7637,3.76355,3.7637
Time: 17:48:00.000 Date: 2018-01-03,3.7636,3.7637,3.76356,3.7637
Time: 17:49:00.000 Date: 2018-01-03,3.76368,3.76375,3.7636,3.76365
Time: 17:50:00.000 Date: 2018-01-03,3.7636,3.76365,3.7636,3.7636
Time: 17:51:00.000 Date: 2018-01-03,3.76355,3.76365,3.76355,3.76365
Time: 17:52:00.000 Date: 2018-01-03,3.7636,3.76365,3.76355,3.7636
Time: 17:53:00.000 Date: 2018-01-03,3.76365,3.76365,3.7634,3.7634
Time: 17:54:00.000 Date: 2018-01-03,3.76345,3.76345,3.76336,3.7634
Time: 17:55:00.000 Date: 2018-01-03,3.76336,3.7634,3.76336,3.7634
Time: 17:56:00.000 Date: 2018-01-03,3.76335,3.7634,3.76335,3.76335
Time: 17:57:00.000 Date: 2018-01-03,3.76332,3.76335,3.7633,3.76335
Time: 17:58:00.000 Date: 2018-01-03,3.7633,3.7634,3.7633,3.7633
Time: 17:59:00.000 Date: 2018-01-03,3.76335,3.76365,3.7633,3.76365
Time: 18:00:00.000 Date: 2018-01-03,3.7636,3.76365,3.76355,3.76355
Time: 18:01:00.000 Date: 2018-01-03,3.7636,3.7636,3.7633,3.76335
Time: 18:02:00.000 Date: 2018-01-03,3.76326,3.7633,3.76324,3.7633
Time: 18:03:00.000 Date: 2018-01-03,3.76325,3.7633,3.76315,3.76315
Time: 18:04:00.000 Date: 2018-01-03,3.7632,3.76325,3.76315,3.7632
Time: 18:05:00.000 Date: 2018-01-03,3.76315,3.7633,3.76315,3.7633
