Date Time,Open,High,Low,Close
Time: 14:26:00.000 Date: 2018-01-02,12.38743,12.38793,12.38523,12.38604
Time: 14:27:00.000 Date: 2018-01-02,12.38603,12.38614,12.37869,12.37869
Time: 14:28:00.000 Date: 2018-01-02,12.3785,12.38343,12.3785,12.38333
Time: 14:29:00.000 Date: 2018-01-02,12.38323,12.38323,12.38173,12.38264
Time: 14:30:00.000 Date: 2018-01-02,12.38243,12.38463,12.38224,12.38234
Time: 14:31:00.000 Date: 2018-01-02,12.38254,12.38723,12.38104,12.38533
Time: 14:32:00.000 Date: 2018-01-02,12.38503,12.38523,12.38254,12.38354
Time: 14:33:00.000 Date: 2018-01-02,12.38384,12.38584,12.38354,12.38484
Time: 14:34:00.000 Date: 2018-01-02,12.38544,12.38663,12.38333,12.38526
Time: 14:35:00.000 Date: 2018-01-02,12.38573,12.38773,12.38555,12.38633
Time: 14:36:00.000 Date: 2018-01-02,12.38623,12.38916,12.38623,12.38804
Time: 14:37:00.000 Date: 2018-01-02,12.38814,12.38833,12.38663,12.38804
Time: 14:38:00.000 Date: 2018-01-02,12.38813,12.38814,12.38654,12.38754
Time: 14:39:00.000 Date: 2018-01-02,12.38753,12.38754,12.38324,12.38464
Time: 14:40:00.000 Date: 2018-01-02,12.38463,12.38464,12.38384,12.38433
Time: 14:41:00.000 Date: 2018-01-02,12.38434,12.38464,12.38383,12.38413
Time: 14:42:00.000 Date: 2018-01-02,12.38414,12.38504,12.38413,12.38504
Time: 14:43:00.000 Date: 2018-01-02,12.38503,12.38654,12.38503,12.38524
Time: 14:44:00.000 Date: 2018-01-02,12.38513,12.38564,12.38513,12.38553
Time: 14:45:00.000 Date: 2018-01-02,12.38554,12.38574,12.38313,12.38394
Time: 14:46:00.000 Date: 2018-01-02,12.38404,12.38513,12.38363,12.38484
Time: 14:47:00.000 Date: 2018-01-02,12.38494,12.38524,12.38494,12.38504
Time: 14:48:00.000 Date: 2018-01-02,12.38503,12.38554,12.38403,12.38524
Time: 14:49:00.000 Date: 2018-01-02,12.38523,12.38544,12.38523,12.38524
Time: 14:50:00.000 Date: 2018-01-02,12.38534,12.38584,12.38524,12.38584
Time: 14:51:00.000 Date: 2018-01-02,12.38583,12.38684,12.38583,12.38683
Time: 14:52:00.000 Date: 2018-01-02,12.38684,12.39084,12.38684,12.39084
Time: 14:53:00.000 Date: 2018-01-02,12.39083,12.39135,12.38884,12.38954
Time: 14:54:00.000 Date: 2018-01-02,12.38953,12.39144,12.38953,12.39103
Time: 14:55:00.000 Date: 2018-01-02,12.39104,12.39393,12.39073,12.39354
