Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,0.71075,0.71076,0.71069,0.7107
Time: 17:27:00.000 Date: 2018-01-02,0.71069,0.71071,0.71061,0.71064
Time: 17:28:00.000 Date: 2018-01-02,0.71067,0.71068,0.71058,0.71059
Time: 17:29:00.000 Date: 2018-01-02,0.7106,0.71064,0.71053,0.71056
Time: 17:30:00.000 Date: 2018-01-02,0.71058,0.71062,0.71052,0.71052
Time: 17:31:00.000 Date: 2018-01-02,0.71054,0.71068,0.7105,0.71059
Time: 17:32:00.000 Date: 2018-01-02,0.71061,0.71068,0.71059,0.71067
Time: 17:33:00.000 Date: 2018-01-02,0.71073,0.71073,0.71061,0.71068
Time: 17:34:00.000 Date: 2018-01-02,0.71069,0.71069,0.71062,0.71069
Time: 17:35:00.000 Date: 2018-01-02,0.71068,0.71073,0.71067,0.71072
Time: 17:36:00.000 Date: 2018-01-02,0.71071,0.71071,0.71056,0.71063
Time: 17:37:00.000 Date: 2018-01-02,0.71065,0.71065,0.71061,0.71062
Time: 17:38:00.000 Date: 2018-01-02,0.71057,0.71069,0.71057,0.71066
Time: 17:39:00.000 Date: 2018-01-02,0.71067,0.71075,0.71067,0.71075
Time: 17:40:00.000 Date: 2018-01-02,0.71072,0.71079,0.71068,0.71068
Time: 17:41:00.000 Date: 2018-01-02,0.71069,0.71074,0.71062,0.71067
Time: 17:42:00.000 Date: 2018-01-02,0.71068,0.7108,0.71066,0.71077
Time: 17:43:00.000 Date: 2018-01-02,0.71078,0.71088,0.71078,0.71086
Time: 17:44:00.000 Date: 2018-01-02,0.71087,0.71089,0.71084,0.71086
Time: 17:45:00.000 Date: 2018-01-02,0.71087,0.71091,0.71082,0.71085
Time: 17:46:00.000 Date: 2018-01-02,0.7108,0.71085,0.71079,0.7108
Time: 17:47:00.000 Date: 2018-01-02,0.71081,0.71082,0.71066,0.71066
Time: 17:48:00.000 Date: 2018-01-02,0.71067,0.71069,0.71065,0.71066
Time: 17:49:00.000 Date: 2018-01-02,0.71065,0.71065,0.71052,0.71055
Time: 17:50:00.000 Date: 2018-01-02,0.71051,0.71055,0.7104,0.71042
Time: 17:51:00.000 Date: 2018-01-02,0.71041,0.71054,0.71041,0.7105
Time: 17:52:00.000 Date: 2018-01-02,0.71052,0.71057,0.71048,0.71051
Time: 17:53:00.000 Date: 2018-01-02,0.7105,0.71052,0.71042,0.71045
Time: 17:54:00.000 Date: 2018-01-02,0.71044,0.71046,0.71034,0.71036
Time: 17:55:00.000 Date: 2018-01-02,0.71039,0.71039,0.71032,0.71036
Time: 17:56:00.000 Date: 2018-01-02,0.71037,0.71042,0.71036,0.71039
Time: 17:57:00.000 Date: 2018-01-02,0.7104,0.7104,0.71029,0.71031
Time: 17:58:00.000 Date: 2018-01-02,0.7103,0.7103,0.71021,0.71022
Time: 17:59:00.000 Date: 2018-01-02,0.71024,0.71028,0.71019,0.7102
Time: 18:00:00.000 Date: 2018-01-02,0.71021,0.71024,0.71011,0.71012
Time: 18:01:00.000 Date: 2018-01-02,0.71011,0.71019,0.71011,0.71018
Time: 18:02:00.000 Date: 2018-01-02,0.7102,0.7103,0.7102,0.71028
Time: 18:03:00.000 Date: 2018-01-02,0.71029,0.71032,0.71026,0.71028
Time: 18:04:00.000 Date: 2018-01-02,0.71027,0.7104,0.71027,0.71039
Time: 18:05:00.000 Date: 2018-01-02,0.71038,0.71049,0.71038,0.71049
Time: 18:06:00.000 Date: 2018-01-02,0.71048,0.71051,0.71045,0.7105
Time: 18:07:00.000 Date: 2018-01-02,0.71049,0.71051,0.71046,0.71048
Time: 18:08:00.000 Date: 2018-01-02,0.71046,0.71053,0.71045,0.7105
Time: 18:09:00.000 Date: 2018-01-02,0.71049,0.7105,0.71047,0.7105
Time: 18:10:00.000 Date: 2018-01-02,0.71048,0.71048,0.71038,0.71038
Time: 18:11:00.000 Date: 2018-01-02,0.71037,0.7104,0.71036,0.7104
Time: 18:12:00.000 Date: 2018-01-02,0.71039,0.71039,0.71034,0.71035
Time: 18:13:00.000 Date: 2018-01-02,0.71036,0.71036,0.71027,0.71027
Time: 18:14:00.000 Date: 2018-01-02,0.71024,0.71027,0.71024,0.71027
Time: 18:15:00.000 Date: 2018-01-02,0.71026,0.71028,0.71017,0.71017
Time: 18:16:00.000 Date: 2018-01-02,0.71016,0.71018,0.71016,0.71017
Time: 18:17:00.000 Date: 2018-01-02,0.71018,0.71018,0.71014,0.71014
Time: 18:18:00.000 Date: 2018-01-02,0.71015,0.71016,0.71014,0.71016
Time: 18:19:00.000 Date: 2018-01-02,0.71015,0.71016,0.71012,0.71012
Time: 18:20:00.000 Date: 2018-01-02,0.71013,0.71015,0.71011,0.71014
Time: 18:21:00.000 Date: 2018-01-02,0.71015,0.71017,0.7101,0.71011
Time: 18:22:00.000 Date: 2018-01-02,0.7101,0.71012,0.7101,0.71012
Time: 18:23:00.000 Date: 2018-01-02,0.71011,0.71012,0.71007,0.71011
Time: 18:24:00.000 Date: 2018-01-02,0.71012,0.71017,0.71012,0.71013
Time: 18:25:00.000 Date: 2018-01-02,0.71011,0.71013,0.71009,0.71013
Time: 18:26:00.000 Date: 2018-01-02,0.71012,0.71019,0.71008,0.71018
Time: 18:27:00.000 Date: 2018-01-02,0.71017,0.71019,0.71013,0.71015
