Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,1.25036,1.25047,1.25036,1.25046
Time: 17:27:00.000 Date: 2018-01-02,1.25045,1.25046,1.25039,1.25044
Time: 17:28:00.000 Date: 2018-01-02,1.25043,1.25046,1.25035,1.25035
Time: 17:29:00.000 Date: 2018-01-02,1.25036,1.25041,1.25028,1.25032
Time: 17:30:00.000 Date: 2018-01-02,1.25031,1.2506,1.25027,1.25059
Time: 17:31:00.000 Date: 2018-01-02,1.2506,1.25071,1.25046,1.25047
Time: 17:32:00.000 Date: 2018-01-02,1.25045,1.25051,1.25045,1.25045
Time: 17:33:00.000 Date: 2018-01-02,1.2504,1.25055,1.25037,1.25052
Time: 17:34:00.000 Date: 2018-01-02,1.2505,1.25052,1.2504,1.25046
Time: 17:35:00.000 Date: 2018-01-02,1.25045,1.25049,1.25044,1.25049
Time: 17:36:00.000 Date: 2018-01-02,1.25045,1.25062,1.25045,1.25057
Time: 17:37:00.000 Date: 2018-01-02,1.25055,1.25058,1.25053,1.25057
Time: 17:38:00.000 Date: 2018-01-02,1.25055,1.25057,1.25052,1.25052
Time: 17:39:00.000 Date: 2018-01-02,1.25045,1.25045,1.25025,1.25025
Time: 17:40:00.000 Date: 2018-01-02,1.25029,1.25036,1.25015,1.25036
Time: 17:41:00.000 Date: 2018-01-02,1.25035,1.25037,1.25022,1.25025
Time: 17:42:00.000 Date: 2018-01-02,1.25023,1.25025,1.2501,1.25013
Time: 17:43:00.000 Date: 2018-01-02,1.25012,1.25013,1.25002,1.2501
Time: 17:44:00.000 Date: 2018-01-02,1.25008,1.25009,1.25002,1.25002
Time: 17:45:00.000 Date: 2018-01-02,1.25003,1.25006,1.25002,1.25005
Time: 17:46:00.000 Date: 2018-01-02,1.25004,1.25005,1.25003,1.25003
Time: 17:47:00.000 Date: 2018-01-02,1.25002,1.25016,1.25002,1.25015
Time: 17:48:00.000 Date: 2018-01-02,1.25022,1.25032,1.25021,1.25032
Time: 17:49:00.000 Date: 2018-01-02,1.25033,1.25048,1.2503,1.25043
Time: 17:50:00.000 Date: 2018-01-02,1.25044,1.25071,1.25041,1.25069
Time: 17:51:00.000 Date: 2018-01-02,1.2507,1.25072,1.2505,1.2506
Time: 17:52:00.000 Date: 2018-01-02,1.25063,1.2507,1.25059,1.25062
Time: 17:53:00.000 Date: 2018-01-02,1.25061,1.25062,1.25055,1.25055
Time: 17:54:00.000 Date: 2018-01-02,1.25056,1.25064,1.25055,1.25057
Time: 17:55:00.000 Date: 2018-01-02,1.25058,1.25065,1.25058,1.25064
