Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,112.229,112.231,112.228,112.229
Time: 17:27:00.000 Date: 2018-01-02,112.227,112.244,112.227,112.243
Time: 17:28:00.000 Date: 2018-01-02,112.245,112.262,112.244,112.255
Time: 17:29:00.000 Date: 2018-01-02,112.254,112.273,112.254,112.272
Time: 17:30:00.000 Date: 2018-01-02,112.269,112.272,112.261,112.272
Time: 17:31:00.000 Date: 2018-01-02,112.273,112.275,112.264,112.267
Time: 17:32:00.000 Date: 2018-01-02,112.268,112.268,112.259,112.26
Time: 17:33:00.000 Date: 2018-01-02,112.261,112.283,112.259,112.279
Time: 17:34:00.000 Date: 2018-01-02,112.278,112.287,112.278,112.286
Time: 17:35:00.000 Date: 2018-01-02,112.285,112.288,112.273,112.274
Time: 17:36:00.000 Date: 2018-01-02,112.275,112.293,112.275,112.283
Time: 17:37:00.000 Date: 2018-01-02,112.286,112.286,112.276,112.277
Time: 17:38:00.000 Date: 2018-01-02,112.281,112.297,112.274,112.277
Time: 17:39:00.000 Date: 2018-01-02,112.276,112.277,112.269,112.269
Time: 17:40:00.000 Date: 2018-01-02,112.27,112.27,112.259,112.269
Time: 17:41:00.000 Date: 2018-01-02,112.268,112.272,112.266,112.268
Time: 17:42:00.000 Date: 2018-01-02,112.267,112.268,112.257,112.258
Time: 17:43:00.000 Date: 2018-01-02,112.256,112.256,112.251,112.253
Time: 17:44:00.000 Date: 2018-01-02,112.252,112.257,112.25,112.255
Time: 17:45:00.000 Date: 2018-01-02,112.254,112.254,112.244,112.247
Time: 17:46:00.000 Date: 2018-01-02,112.248,112.249,112.243,112.243
Time: 17:47:00.000 Date: 2018-01-02,112.244,112.248,112.237,112.245
Time: 17:48:00.000 Date: 2018-01-02,112.244,112.246,112.244,112.245
Time: 17:49:00.000 Date: 2018-01-02,112.246,112.248,112.237,112.238
Time: 17:50:00.000 Date: 2018-01-02,112.244,112.251,112.241,112.251
Time: 17:51:00.000 Date: 2018-01-02,112.25,112.261,112.244,112.255
Time: 17:52:00.000 Date: 2018-01-02,112.254,112.259,112.254,112.259
Time: 17:53:00.000 Date: 2018-01-02,112.265,112.271,112.265,112.27
Time: 17:54:00.000 Date: 2018-01-02,112.269,112.278,112.269,112.278
Time: 17:55:00.000 Date: 2018-01-02,112.277,112.294,112.277,112.285
Time: 17:56:00.000 Date: 2018-01-02,112.286,112.297,112.286,112.297
Time: 17:57:00.000 Date: 2018-01-02,112.296,112.304,112.295,112.296
Time: 17:58:00.000 Date: 2018-01-02,112.294,112.294,112.282,112.282
Time: 17:59:00.000 Date: 2018-01-02,112.28,112.289,112.278,112.285
Time: 18:00:00.000 Date: 2018-01-02,112.284,112.288,112.282,112.284
Time: 18:01:00.000 Date: 2018-01-02,112.285,112.286,112.283,112.284
Time: 18:02:00.000 Date: 2018-01-02,112.283,112.285,112.277,112.285
Time: 18:03:00.000 Date: 2018-01-02,112.286,112.287,112.28,112.283
Time: 18:04:00.000 Date: 2018-01-02,112.285,112.29,112.279,112.283
Time: 18:05:00.000 Date: 2018-01-02,112.282,112.282,112.279,112.281
Time: 18:06:00.000 Date: 2018-01-02,112.282,112.29,112.28,112.284
Time: 18:07:00.000 Date: 2018-01-02,112.283,112.283,112.281,112.281
Time: 18:08:00.000 Date: 2018-01-02,112.279,112.28,112.269,112.27
Time: 18:09:00.000 Date: 2018-01-02,112.269,112.273,112.267,112.267
Time: 18:10:00.000 Date: 2018-01-02,112.268,112.282,112.268,112.282
Time: 18:11:00.000 Date: 2018-01-02,112.281,112.283,112.272,112.272
Time: 18:12:00.000 Date: 2018-01-02,112.273,112.277,112.27,112.277
Time: 18:13:00.000 Date: 2018-01-02,112.283,112.283,112.276,112.276
Time: 18:14:00.000 Date: 2018-01-02,112.275,112.288,112.275,112.287
Time: 18:15:00.000 Date: 2018-01-02,112.288,112.298,112.283,112.297
Time: 18:16:00.000 Date: 2018-01-02,112.296,112.297,112.293,112.296
Time: 18:17:00.000 Date: 2018-01-02,112.297,112.299,112.295,112.297
Time: 18:18:00.000 Date: 2018-01-02,112.296,112.3,112.296,112.297
Time: 18:19:00.000 Date: 2018-01-02,112.296,112.302,112.293,112.301
Time: 18:20:00.000 Date: 2018-01-02,112.302,112.302,112.301,112.301
Time: 18:21:00.000 Date: 2018-01-02,112.3,112.302,112.297,112.3
Time: 18:22:00.000 Date: 2018-01-02,112.299,112.304,112.299,112.304
Time: 18:23:00.000 Date: 2018-01-02,112.309,112.312,112.307,112.311
Time: 18:24:00.000 Date: 2018-01-02,112.31,112.313,112.308,112.31
Time: 18:25:00.000 Date: 2018-01-02,112.311,112.313,112.309,112.309
Time: 18:26:00.000 Date: 2018-01-02,112.308,112.315,112.302,112.303
Time: 18:27:00.000 Date: 2018-01-02,112.304,112.309,112.303,112.308
Time: 18:28:00.000 Date: 2018-01-02,112.305,112.31,112.303,112.304
Time: 18:29:00.000 Date: 2018-01-02,112.303,112.305,112.301,112.301
Time: 18:30:00.000 Date: 2018-01-02,112.302,112.305,112.296,112.305
Time: 18:31:00.000 Date: 2018-01-02,112.304,112.306,112.298,112.298
Time: 18:32:00.000 Date: 2018-01-02,112.297,112.299,112.296,112.297
Time: 18:33:00.000 Date: 2018-01-02,112.296,112.297,112.292,112.294
Time: 18:34:00.000 Date: 2018-01-02,112.295,112.302,112.29,112.3
Time: 18:35:00.000 Date: 2018-01-02,112.299,112.31,112.298,112.308
Time: 18:36:00.000 Date: 2018-01-02,112.309,112.321,112.308,112.32
Time: 18:37:00.000 Date: 2018-01-02,112.321,112.323,112.317,112.318
Time: 18:38:00.000 Date: 2018-01-02,112.319,112.319,112.3,112.301
Time: 18:39:00.000 Date: 2018-01-02,112.3,112.304,112.297,112.302
Time: 18:40:00.000 Date: 2018-01-02,112.301,112.311,112.301,112.305
Time: 18:41:00.000 Date: 2018-01-02,112.307,112.311,112.302,112.302
Time: 18:42:00.000 Date: 2018-01-02,112.301,112.303,112.3,112.303
Time: 18:43:00.000 Date: 2018-01-02,112.302,112.306,112.302,112.306
Time: 18:44:00.000 Date: 2018-01-02,112.31,112.311,112.3,112.3
Time: 18:45:00.000 Date: 2018-01-02,112.301,112.301,112.296,112.296
Time: 18:46:00.000 Date: 2018-01-02,112.297,112.302,112.293,112.301
Time: 18:47:00.000 Date: 2018-01-02,112.302,112.303,112.296,112.297
Time: 18:48:00.000 Date: 2018-01-02,112.296,112.304,112.293,112.304
Time: 18:49:00.000 Date: 2018-01-02,112.305,112.308,112.302,112.303
Time: 17:25:00.000 Date: 2018-01-03,112.315,112.323,112.315,112.322
Time: 17:26:00.000 Date: 2018-01-03,112.321,112.323,112.316,112.316
Time: 17:27:00.000 Date: 2018-01-03,112.315,112.321,112.315,112.321
Time: 17:28:00.000 Date: 2018-01-03,112.32,112.321,112.315,112.316
Time: 17:29:00.000 Date: 2018-01-03,112.317,112.318,112.314,112.317
Time: 17:30:00.000 Date: 2018-01-03,112.32,112.321,112.313,112.315
Time: 17:31:00.000 Date: 2018-01-03,112.313,112.322,112.313,112.319
Time: 17:32:00.000 Date: 2018-01-03,112.316,112.316,112.304,112.306
Time: 17:33:00.000 Date: 2018-01-03,112.307,112.314,112.305,112.314
Time: 17:34:00.000 Date: 2018-01-03,112.315,112.316,112.306,112.311
Time: 17:35:00.000 Date: 2018-01-03,112.31,112.317,112.31,112.315
Time: 17:36:00.000 Date: 2018-01-03,112.316,112.317,112.313,112.314
Time: 17:37:00.000 Date: 2018-01-03,112.315,112.322,112.314,112.321
Time: 17:38:00.000 Date: 2018-01-03,112.32,112.326,112.319,112.322
Time: 17:39:00.000 Date: 2018-01-03,112.325,112.329,112.322,112.328
Time: 17:40:00.000 Date: 2018-01-03,112.323,112.336,112.323,112.334
Time: 17:41:00.000 Date: 2018-01-03,112.335,112.341,112.333,112.341
Time: 17:42:00.000 Date: 2018-01-03,112.34,112.34,112.334,112.34
Time: 17:43:00.000 Date: 2018-01-03,112.339,112.341,112.339,112.34
Time: 17:44:00.000 Date: 2018-01-03,112.339,112.341,112.338,112.339
Time: 17:45:00.000 Date: 2018-01-03,112.34,112.341,112.338,112.34
Time: 17:46:00.000 Date: 2018-01-03,112.337,112.347,112.337,112.347
Time: 17:47:00.000 Date: 2018-01-03,112.348,112.352,112.345,112.345
Time: 17:48:00.000 Date: 2018-01-03,112.346,112.346,112.345,112.346
Time: 17:49:00.000 Date: 2018-01-03,112.351,112.362,112.35,112.356
Time: 17:50:00.000 Date: 2018-01-03,112.357,112.358,112.356,112.358
Time: 17:51:00.000 Date: 2018-01-03,112.357,112.364,112.357,112.357
Time: 17:52:00.000 Date: 2018-01-03,112.356,112.359,112.353,112.357
Time: 17:53:00.000 Date: 2018-01-03,112.352,112.352,112.35,112.351
Time: 17:54:00.000 Date: 2018-01-03,112.35,112.35,112.338,112.339
Time: 17:55:00.000 Date: 2018-01-03,112.338,112.339,112.333,112.335
Time: 17:56:00.000 Date: 2018-01-03,112.336,112.336,112.33,112.33
Time: 17:57:00.000 Date: 2018-01-03,112.331,112.333,112.328,112.33
Time: 17:58:00.000 Date: 2018-01-03,112.329,112.331,112.325,112.325
Time: 17:59:00.000 Date: 2018-01-03,112.326,112.334,112.326,112.332
Time: 18:00:00.000 Date: 2018-01-03,112.331,112.336,112.331,112.332
Time: 18:01:00.000 Date: 2018-01-03,112.333,112.333,112.327,112.327
Time: 18:02:00.000 Date: 2018-01-03,112.326,112.328,112.322,112.326
