Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,19.47299,19.4737,19.47215,19.47294
Time: 17:27:00.000 Date: 2018-01-02,19.47299,19.47513,19.47143,19.47296
Time: 17:28:00.000 Date: 2018-01-02,19.47313,19.48643,19.47313,19.48437
Time: 17:29:00.000 Date: 2018-01-02,19.48457,19.48899,19.48424,19.48763
Time: 17:30:00.000 Date: 2018-01-02,19.48779,19.49043,19.48758,19.48858
Time: 17:31:00.000 Date: 2018-01-02,19.48865,19.49211,19.47946,19.4796
Time: 17:32:00.000 Date: 2018-01-02,19.48009,19.48082,19.47443,19.47579
Time: 17:33:00.000 Date: 2018-01-02,19.47522,19.48036,19.47338,19.47635
Time: 17:34:00.000 Date: 2018-01-02,19.47634,19.4806,19.47632,19.4801
Time: 17:35:00.000 Date: 2018-01-02,19.48077,19.48084,19.47863,19.48052
Time: 17:36:00.000 Date: 2018-01-02,19.48015,19.48304,19.47942,19.4817
Time: 17:37:00.000 Date: 2018-01-02,19.4818,19.485,19.47943,19.4849
Time: 17:38:00.000 Date: 2018-01-02,19.4848,19.4848,19.47845,19.482
Time: 17:39:00.000 Date: 2018-01-02,19.4816,19.4816,19.47049,19.4729
Time: 17:40:00.000 Date: 2018-01-02,19.4732,19.4733,19.47119,19.4727
Time: 17:41:00.000 Date: 2018-01-02,19.473,19.4768,19.4729,19.47522
Time: 17:42:00.000 Date: 2018-01-02,19.47538,19.47541,19.47146,19.47175
Time: 17:43:00.000 Date: 2018-01-02,19.47174,19.47261,19.47138,19.47177
Time: 17:44:00.000 Date: 2018-01-02,19.47169,19.47406,19.47169,19.47294
Time: 17:45:00.000 Date: 2018-01-02,19.47276,19.47276,19.47096,19.47175
Time: 17:46:00.000 Date: 2018-01-02,19.4722,19.47226,19.464,19.46442
Time: 17:47:00.000 Date: 2018-01-02,19.4641,19.46606,19.463,19.4657
Time: 17:48:00.000 Date: 2018-01-02,19.4659,19.46632,19.46362,19.46632
Time: 17:49:00.000 Date: 2018-01-02,19.46734,19.46942,19.46734,19.4679
Time: 17:50:00.000 Date: 2018-01-02,19.4681,19.4685,19.46594,19.46758
Time: 17:51:00.000 Date: 2018-01-02,19.4677,19.46986,19.4677,19.46933
Time: 17:52:00.000 Date: 2018-01-02,19.46909,19.47196,19.46368,19.4639
Time: 17:53:00.000 Date: 2018-01-02,19.4638,19.4641,19.4637,19.4638
Time: 17:54:00.000 Date: 2018-01-02,19.4639,19.46428,19.4636,19.4639
Time: 17:55:00.000 Date: 2018-01-02,19.4638,19.47039,19.46375,19.46375
Time: 17:56:00.000 Date: 2018-01-02,19.464,19.464,19.4505,19.4541
Time: 17:57:00.000 Date: 2018-01-02,19.45384,19.4554,19.44837,19.4553
Time: 17:58:00.000 Date: 2018-01-02,19.4552,19.4629,19.4551,19.4629
Time: 17:59:00.000 Date: 2018-01-02,19.4626,19.46702,19.4624,19.46687
Time: 18:00:00.000 Date: 2018-01-02,19.4665,19.475,19.46631,19.4718
Time: 18:01:00.000 Date: 2018-01-02,19.4717,19.4719,19.4709,19.4709
Time: 18:02:00.000 Date: 2018-01-02,19.4711,19.4712,19.4708,19.4712
Time: 18:03:00.000 Date: 2018-01-02,19.4709,19.4784,19.4706,19.4784
Time: 18:04:00.000 Date: 2018-01-02,19.4787,19.4837,19.4785,19.4799
Time: 18:05:00.000 Date: 2018-01-02,19.48,19.4838,19.4778,19.4836
Time: 18:06:00.000 Date: 2018-01-02,19.48342,19.4876,19.48342,19.4875
Time: 18:07:00.000 Date: 2018-01-02,19.4877,19.5019,19.4872,19.4971
Time: 18:08:00.000 Date: 2018-01-02,19.497,19.4971,19.49451,19.49451
Time: 18:09:00.000 Date: 2018-01-02,19.4948,19.50574,19.4948,19.5042
Time: 18:10:00.000 Date: 2018-01-02,19.50466,19.51023,19.49918,19.49929
Time: 18:11:00.000 Date: 2018-01-02,19.49899,19.4993,19.49785,19.49813
Time: 18:12:00.000 Date: 2018-01-02,19.4982,19.4994,19.495,19.4982
Time: 18:13:00.000 Date: 2018-01-02,19.4983,19.50271,19.4983,19.49948
Time: 18:14:00.000 Date: 2018-01-02,19.49917,19.49999,19.49778,19.49991
Time: 18:15:00.000 Date: 2018-01-02,19.49926,19.49926,19.493,19.4957
Time: 18:16:00.000 Date: 2018-01-02,19.49601,19.49965,19.49601,19.49845
Time: 18:17:00.000 Date: 2018-01-02,19.49853,19.4987,19.49667,19.49846
Time: 18:18:00.000 Date: 2018-01-02,19.49759,19.49759,19.49372,19.4967
Time: 18:19:00.000 Date: 2018-01-02,19.49953,19.5022,19.49907,19.50199
Time: 18:20:00.000 Date: 2018-01-02,19.502,19.50988,19.502,19.5092
Time: 18:21:00.000 Date: 2018-01-02,19.5095,19.51575,19.509,19.51499
Time: 18:22:00.000 Date: 2018-01-02,19.51484,19.52087,19.51484,19.51776
Time: 18:23:00.000 Date: 2018-01-02,19.51708,19.52038,19.50839,19.5112
Time: 18:24:00.000 Date: 2018-01-02,19.51096,19.51099,19.50477,19.50478
Time: 18:25:00.000 Date: 2018-01-02,19.50477,19.5103,19.50458,19.50975
Time: 18:26:00.000 Date: 2018-01-02,19.5096,19.5102,19.50863,19.5092
Time: 18:27:00.000 Date: 2018-01-02,19.5093,19.5114,19.50881,19.5097
Time: 18:28:00.000 Date: 2018-01-02,19.5082,19.5096,19.505,19.50504
Time: 18:29:00.000 Date: 2018-01-02,19.50501,19.50501,19.49889,19.50166
Time: 18:30:00.000 Date: 2018-01-02,19.5013,19.50527,19.50013,19.50033
Time: 18:31:00.000 Date: 2018-01-02,19.50037,19.50656,19.50037,19.50283
Time: 18:32:00.000 Date: 2018-01-02,19.50292,19.50292,19.50119,19.50119
Time: 18:33:00.000 Date: 2018-01-02,19.5005,19.5005,19.49849,19.49934
Time: 18:34:00.000 Date: 2018-01-02,19.49916,19.49973,19.49801,19.49808
Time: 18:35:00.000 Date: 2018-01-02,19.498,19.49905,19.4971,19.4977
Time: 18:36:00.000 Date: 2018-01-02,19.4975,19.4981,19.4968,19.498
Time: 18:37:00.000 Date: 2018-01-02,19.4981,19.4982,19.4975,19.4977
Time: 18:38:00.000 Date: 2018-01-02,19.4974,19.4974,19.4918,19.492
Time: 18:39:00.000 Date: 2018-01-02,19.4918,19.4941,19.48949,19.494
Time: 18:40:00.000 Date: 2018-01-02,19.49378,19.49378,19.4909,19.49355
Time: 18:41:00.000 Date: 2018-01-02,19.49365,19.4995,19.49359,19.4995
Time: 18:42:00.000 Date: 2018-01-02,19.49977,19.50157,19.49954,19.5013
Time: 18:43:00.000 Date: 2018-01-02,19.50051,19.5029,19.4973,19.4973
Time: 18:44:00.000 Date: 2018-01-02,19.4969,19.49833,19.4955,19.49645
Time: 18:45:00.000 Date: 2018-01-02,19.4941,19.4941,19.48257,19.48376
Time: 18:46:00.000 Date: 2018-01-02,19.48377,19.49076,19.48377,19.4871
Time: 18:47:00.000 Date: 2018-01-02,19.48718,19.49189,19.48381,19.48819
