Date Time,Open,High,Low,Close
Time: 17:26:00.000 Date: 2018-01-02,12.4356,12.43701,12.43551,12.4358
Time: 17:27:00.000 Date: 2018-01-02,12.4364,12.437,12.4357,12.43644
Time: 17:28:00.000 Date: 2018-01-02,12.4366,12.43773,12.43602,12.43693
Time: 17:29:00.000 Date: 2018-01-02,12.4372,12.43958,12.437,12.4388
Time: 17:30:00.000 Date: 2018-01-02,12.4392,12.44008,12.4386,12.4392
Time: 17:31:00.000 Date: 2018-01-02,12.4396,12.45056,12.43927,12.44984
Time: 17:32:00.000 Date: 2018-01-02,12.44987,12.45073,12.4494,12.45043
Time: 17:33:00.000 Date: 2018-01-02,12.45063,12.4533,12.45063,12.4519
Time: 17:34:00.000 Date: 2018-01-02,12.4518,12.4522,12.4516,12.4522
Time: 17:35:00.000 Date: 2018-01-02,12.4519,12.4524,12.4519,12.4524
Time: 17:36:00.000 Date: 2018-01-02,12.4525,12.4534,12.4525,12.453
Time: 17:37:00.000 Date: 2018-01-02,12.4529,12.4533,12.4529,12.4533
Time: 17:38:00.000 Date: 2018-01-02,12.4532,12.4533,12.4525,12.4525
Time: 17:39:00.000 Date: 2018-01-02,12.4526,12.4527,12.4514,12.4515
Time: 17:40:00.000 Date: 2018-01-02,12.4514,12.4514,12.4508,12.4514
Time: 17:41:00.000 Date: 2018-01-02,12.4519,12.4519,12.4515,12.4516
Time: 17:42:00.000 Date: 2018-01-02,12.4515,12.4517,12.45018,12.45026
Time: 17:43:00.000 Date: 2018-01-02,12.45028,12.45028,12.45003,12.45024
Time: 17:44:00.000 Date: 2018-01-02,12.4503,12.452,12.4503,12.452
Time: 17:45:00.000 Date: 2018-01-02,12.4519,12.45441,12.4511,12.4541
Time: 17:46:00.000 Date: 2018-01-02,12.4543,12.4564,12.4543,12.4562
Time: 17:47:00.000 Date: 2018-01-02,12.4563,12.46094,12.4562,12.46094
Time: 17:48:00.000 Date: 2018-01-02,12.46173,12.46173,12.46162,12.46168
Time: 17:49:00.000 Date: 2018-01-02,12.46171,12.46171,12.4617,12.4617
Time: 17:50:00.000 Date: 2018-01-02,12.4616,12.4619,12.46159,12.4619
Time: 17:51:00.000 Date: 2018-01-02,12.4618,12.462,12.4616,12.4618
Time: 17:52:00.000 Date: 2018-01-02,12.4617,12.4623,12.46144,12.46144
Time: 17:53:00.000 Date: 2018-01-02,12.4613,12.4614,12.4599,12.4602
Time: 17:54:00.000 Date: 2018-01-02,12.4603,12.4605,12.46,12.4603
Time: 17:55:00.000 Date: 2018-01-02,12.4604,12.4616,12.4601,12.4601
Time: 17:56:00.000 Date: 2018-01-02,12.4599,12.4601,12.4572,12.4576
Time: 17:57:00.000 Date: 2018-01-02,12.45759,12.4577,12.45753,12.45758
Time: 17:58:00.000 Date: 2018-01-02,12.45761,12.4593,12.45748,12.4593
Time: 17:59:00.000 Date: 2018-01-02,12.4592,12.4593,12.4586,12.4588
Time: 18:00:00.000 Date: 2018-01-02,12.4587,12.4593,12.4576,12.4591
Time: 18:01:00.000 Date: 2018-01-02,12.459,12.4591,12.4588,12.4589
Time: 18:02:00.000 Date: 2018-01-02,12.4591,12.4597,12.4588,12.4597
Time: 18:03:00.000 Date: 2018-01-02,12.4594,12.4602,12.4594,12.4602
Time: 18:04:00.000 Date: 2018-01-02,12.4601,12.4609,12.4491,12.4549
Time: 18:05:00.000 Date: 2018-01-02,12.4546,12.4546,12.4529,12.4533
Time: 18:06:00.000 Date: 2018-01-02,12.4531,12.4566,12.4486,12.4565
Time: 18:07:00.000 Date: 2018-01-02,12.4564,12.4573,12.4563,12.457
Time: 18:08:00.000 Date: 2018-01-02,12.4571,12.4577,12.4569,12.4575
Time: 18:09:00.000 Date: 2018-01-02,12.4573,12.4602,12.4573,12.4602
Time: 18:10:00.000 Date: 2018-01-02,12.4603,12.4609,12.46,12.46
Time: 18:11:00.000 Date: 2018-01-02,12.4601,12.4602,12.4595,12.4597
Time: 18:12:00.000 Date: 2018-01-02,12.4595,12.4597,12.4586,12.4592
Time: 18:13:00.000 Date: 2018-01-02,12.4594,12.4606,12.4594,12.4604
Time: 18:14:00.000 Date: 2018-01-02,12.4602,12.4605,12.46,12.4604
Time: 18:15:00.000 Date: 2018-01-02,12.4603,12.4607,12.4597,12.4607
Time: 18:16:00.000 Date: 2018-01-02,12.4606,12.464,12.4606,12.464
Time: 18:17:00.000 Date: 2018-01-02,12.4639,12.4641,12.4636,12.4636
Time: 18:18:00.000 Date: 2018-01-02,12.4635,12.4635,12.4631,12.4632
Time: 18:19:00.000 Date: 2018-01-02,12.4636,12.4662,12.4634,12.4635
Time: 18:20:00.000 Date: 2018-01-02,12.4633,12.4656,12.4611,12.4643
Time: 18:21:00.000 Date: 2018-01-02,12.4644,12.4651,12.4642,12.4651
Time: 18:22:00.000 Date: 2018-01-02,12.4652,12.4652,12.4559,12.4595
Time: 18:23:00.000 Date: 2018-01-02,12.4594,12.4609,12.4594,12.4598
Time: 18:24:00.000 Date: 2018-01-02,12.4597,12.4607,12.4592,12.4596
Time: 18:25:00.000 Date: 2018-01-02,12.4597,12.4629,12.4595,12.4601
Time: 18:26:00.000 Date: 2018-01-02,12.46,12.4606,12.4598,12.4598
