datetime,MXN-CAD,GBP-CAD,USD-DKK,XAU-USD,USD-MXN,THB-CAD,BRL-CAD,ZAR-CAD,USD-JPY,GBP-JPY,USD-CNH,EUR-PHP,USD-ILS,EUR-KRW,EUR-NZD,PEN-CAD,USD-SGD,EUR-INR,EUR-ZAR,AUD-JPY,EUR-CZK,EUR-SEK,USD-ZAR,EUR-PLN,USD-THB,USD-CHF,EUR-BRL,EUR-DKK,EUR-CAD,USD-CZK,EUR-ILS,CHF-CAD,EUR-IDR,CAD-JPY,TRY-CAD,NOK-CAD,EUR-HKD,EUR-THB,EUR-MYR,EUR-TRY,SAR-CAD,USD-SEK,INR-CAD,MYR-CAD,USD-PLN,EUR-RON,GBP-USD,EUR-BGN,EUR-AUD,EUR-HRK,EUR-HUF,USD-HUF,NZD-USD,RUB-CAD,HKD-CAD,AUD-USD,USD-TRY,AUD-CAD,CNY-CAD,KRW-CAD,EUR-NOK,EUR-CHF,EUR-CNY,SGD-CAD,NZD-CAD,CHF-JPY,EUR-RUB,JPY-CAD,USD-HKD,TWD-CAD,EUR-USD,EUR-SGD,EUR-MXN,USD-CAD,EUR-GBP,IDR-CAD,SEK-CAD,EUR-JPY
2018-01-02,0.0641,1.6986,6.18135,1312.48,19.5182,3.8528,0.3833,0.1004,112.145,152.275,6.4946,60.0076,3.4589999999999996,1278.6,1.6942,0.3864,1.3293,76.4529,15.0006,87.809,25.514,9.8522,12.4564,4.162,32.471,0.9722,3.9302,7.4439,1.50655,21.1864,4.1655,1.2868,16274.2,89.64399999999999,0.3324,0.15369000000000002,9.4121,39.1032,4.8405,4.5344,0.3336,8.1812,0.0197,0.3112,3.4561,4.6431,1.3578,1.9561,1.538,7.4543,308.78,256.41,0.7108,2.1732,0.16007000000000002,0.7829999999999999,3.7642,0.9796,0.1927,0.0011783,9.8026,1.17077,7.8193,0.9411,0.8892,115.359,69.3359,0.0111552,7.8157,4.225,1.20425,1.6008,23.5048,1.25105,0.8869100000000001,0.0926,0.1529,135.06
2018-01-03,0.0645,1.6939,6.1926,1316.46,19.4351,3.8839,0.3851,0.1014,112.4,151.89700000000002,6.4969,59.8537,3.4512,1280.48,1.6942,0.3879,1.3294,76.3748,14.8669,88.037,25.524,9.8265,12.3664,4.1544,32.274,0.9775,3.9128,7.4447,1.5069299999999999,21.2309,4.149,1.2823,16198.4,89.671,0.3327,0.15447,9.3971,38.7998,4.8367,4.5307,0.3342,8.1738,0.0197,0.3116,3.4557,4.6255,1.3514,1.9559,1.5348899999999999,7.4297,308.44,256.56,0.7096,2.1875,0.16036,0.78325,3.7675,0.9818,0.1928,0.0011769,9.7557,1.17515,7.8179,0.9429,0.8895,114.98700000000001,68.8996,0.0111519,7.8166,4.2410000000000005,1.2022,1.5982,23.3649,1.2535,0.8896,0.09300000000000001,0.1534,135.13
2018-01-04,0.065,1.6969999999999998,6.1649,1319.7,19.250999999999998,3.887,0.3882,0.1018,112.77,152.83,6.4942,60.2079,3.4496,1282.73,1.6893,0.3908,1.3285,76.5759,14.8606,88.637,25.504,9.8269,12.3049,4.1544,32.216,0.9747,3.8962,7.4453,1.51233,21.118000000000002,4.1661,1.2847,16209.8,90.056,0.3342,0.15486,9.4408,38.9073,4.8402,4.5293,0.3339,8.1369,0.0197,0.3124,3.4399,4.6315,1.3552,1.9559,1.53651,7.4332,308.2,255.2,0.7149,2.1975,0.16019,0.7859999999999999,3.7469,0.9843,0.1928,0.001179,9.7659,1.1771399999999999,7.8422,0.9426,0.8952,115.705,68.8237,0.0111041,7.8172,4.2325,1.2077,1.6044,23.2494,1.2523,0.8911600000000001,0.0933,0.1539,136.2
2018-01-05,0.0643,1.6811,6.18785,1318.83,19.2936,3.8510000000000004,0.3833,0.1004,113.22,153.542,6.4819,60.0176,3.4367,1279.0,1.6785,0.386,1.3273,76.2592,14.8523,88.956,25.541,9.8031,12.3425,4.154,32.191,0.9756,3.8918,7.4461,1.49177,21.225,4.1356,1.2707,16146.5,91.331,0.3317,0.1539,9.4095,38.7371,4.8104,4.4985,0.3305,8.1465,0.0196,0.3101,3.452,4.6355,1.3561,1.9559,1.53156,7.4368,308.42,256.3,0.7169,2.1738,0.15854000000000001,0.7857,3.7373,0.9740000000000001,0.1911,0.0011664000000000002,9.6932,1.1739899999999999,7.8073,0.934,0.8887,116.059,68.6243,0.0109491,7.8194,4.2033,1.20335,1.5972,23.2169,1.2397,0.88736,0.0924,0.1522,136.25
2018-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,0.0646,1.6857,6.21965,1319.54,19.2239,3.8536,0.3848,0.1001,113.0,153.409,6.4967,60.0476,3.4469,1276.61,1.6680000000000001,0.3858,1.3324,76.0117,14.8538,88.564,25.544,9.8237,12.4061,4.1727,32.221,0.9768,3.8637,7.4468,1.48666,21.3347,4.127,1.2712,16076.1,91.006,0.3313,0.15358,9.3652,38.5782,4.7838,4.4891,0.3311,8.2049,0.0196,0.3108,3.4851,4.6449,1.3576,1.9559,1.52766,7.4418,309.12,258.18,0.7178,2.1752,0.15874000000000002,0.78375,3.7481,0.9732,0.191,0.0011645,9.6803,1.1695200000000001,7.7822,0.9319,0.8913,115.684,68.3422,0.0109883,7.8219,4.2047,1.1973,1.5953,23.0168,1.2417,0.88192,0.0925,0.1513,135.29
2018-01-09,0.0646,1.6853,6.2418,1312.3,19.2889,3.8621,0.3838,0.1007,112.41,152.035,6.5312,60.0399,3.4434,1273.29,1.6637,0.387,1.3353,76.0139,14.7644,87.921,25.544,9.8295,12.3753,4.1849,32.264,0.9827,3.873,7.4468,1.48664,21.4108,4.1082,1.268,16033.4,90.211,0.3307,0.15352000000000002,9.3298,38.4926,4.7835,4.4963,0.3322,8.238999999999999,0.0196,0.3108,3.5077,4.648,1.3525,1.9559,1.52535,7.4474,309.64,259.54,0.7171,2.1842,0.15934,0.78215,3.7676,0.9746,0.1908,0.0011675999999999998,9.6836,1.17241,7.7904,0.9332,0.8936,114.389,68.0611,0.0110852,7.8201,4.2166,1.19305,1.5931,23.0126,1.2461,0.8821100000000001,0.0927,0.1512,134.11
2018-01-10,0.0648,1.6888,6.2147,1319.41,19.2545,3.8874,0.3851,0.1003,111.34,150.654,6.5159,60.3696,3.4252,1284.54,1.6638,0.3878,1.3335,76.2105,14.9124,87.38,25.564,9.8033,12.4446,4.1767,32.106,0.9769,3.8841,7.4471,1.49558,21.3336,4.1044,1.2776,16094.4,89.209,0.3282,0.15488,9.3729,38.4726,4.7988,4.5578,0.3328,8.181000000000001,0.0196,0.3117,3.4855,4.6403,1.3531,1.9559,1.5268899999999999,7.4506,309.37,258.17,0.7202,2.1916,0.15955999999999998,0.7848,3.8024,0.9795,0.1918,0.0011642999999999998,9.6563,1.17062,7.7989999999999995,0.9359,0.8989,113.973,68.2396,0.011209700000000001,7.8218,4.2165,1.1983,1.5979,23.0727,1.2481,0.8856,0.0929,0.1526,133.42
2018-01-11,0.0648,1.6969,6.18075,1321.01,19.3356,3.9210000000000003,0.3889,0.1009,111.395,150.795,6.4955,60.7012,3.4189,1292.13,1.6641,0.3898,1.3296,76.7127,14.9731,87.70100000000001,25.531999999999996,9.8003,12.4263,4.1732,31.97,0.9745,3.8839,7.4475,1.5104600000000001,21.1892,4.1196,1.2863,16140.3,88.86399999999999,0.3315,0.15633,9.4264,38.5219,4.8096,4.5622,0.3343,8.1334,0.0197,0.3141,3.4634,4.6424,1.3537,1.9562,1.5304799999999998,7.4572,309.13,256.55,0.7241,2.2122,0.16024000000000002,0.7873,3.7816,0.9869,0.1927,0.001169,9.6623,1.17422,7.8389999999999995,0.9428,0.9077,114.31,68.2667,0.0112531,7.8231,4.2334,1.20495,1.6021,23.2984,1.2536,0.89012,0.0936,0.1541,134.23
2018-01-12,0.0657,1.7117,6.1324,1331.72,19.0439,3.9175,0.3892,0.1006,111.31,152.35,6.4679,61.1797,3.3998,1293.6,1.6771,0.3887,1.3274,77.2812,15.0953,87.835,25.523000000000003,9.8413,12.4267,4.1694,31.924,0.971,3.9044,7.4493,1.5191700000000001,21.0113,4.1299,1.288,16220.6,89.005,0.3335,0.15725999999999998,9.503,38.7793,4.8244,4.5558,0.3335,8.1015,0.0197,0.3149,3.4323,4.6367,1.3687,1.9559,1.53941,7.4436,308.73,254.15,0.7243,2.211,0.15986,0.7891,3.7504,0.9868,0.1933,0.0011744000000000001,9.6602,1.1795200000000001,7.8582,0.9421,0.9058,114.634,68.7108,0.0112353,7.8229999999999995,4.2219999999999995,1.21475,1.6125,23.1383,1.2506,0.8875200000000001,0.0937,0.1544,135.21
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
